kanji	index	reading	sentence
今	38	いま	更に その 後 、 繊維 ・ 水着 のみ なら ず 、 グループ 事業 全体 の PR も 担わ せる ため 、 第 33 代 から 「 旭 化成 グループ キャンペーン モデル 」 に 名称 変更 し 、 今 に 至っ て いる 。
今	1	いま	今 まで 通っ て た 美容 室 より 、 値段 が 半額 な の で 、 正直 最初 は 不安 でし た 。
今	1	いま	今 の 日本 の 社会 に は カルチャー が 全く ない 。
今	1	いま	今 まで 行っ て た つけ 放題 の 店 は つけ 放題 な の に 100 本 と か 意味 分から ない けど 行っ て まし た が 、 ここ は たくさん 付け て くれ て 、 方向 も そろっ て バッチリ 綺麗 でし た 。
今	5	いま	その 名残 か 、 今 で も リアドロ や フンメル など の ヨーロッパ の 磁器 メーカー で は グレーズ を 商品 の デザイン に 取り入れ て いる 。
今	9	いま	知ったか ぶり の 人 の ため に 、 今 話題 に なっ て いる 情報 を 、 分かり 易く 面白く 教える 番組 。
今	4	いま	ただ 、 「 今 の ところ は 悪化 の ペース は 緩やか 」 と し 、 「 今日 1 日 すぐ に どう 動く と いう 状態 で は 今 の ところ は ない 」 と 説明 し た 。
今	30	いま	ただ 、 「 今 の ところ は 悪化 の ペース は 緩やか 」 と し 、 「 今日 1 日 すぐ に どう 動く と いう 状態 で は 今 の ところ は ない 」 と 説明 し た 。
今	29	コン	契約 数 に つい て は 、 当面 、 エリア が 限定 さ れ て いる うえ 、 対応 端末 が データ 通信 カード のみ で ある ため 今 年度 は 5 万 契約 に とどまる が 、 エリア と 端末 が 拡充 する 2011 年度 は 100 万 契約 、 2014 年度 は 1500 万 契約 を 目指す と し て いる 。
今	19	いま	学生 の 頃 から お せわ に なっ て いる の です が 、 池袋 を 離れ た 今 も 他 に 浮気 し 難い 美容 室 。
今	1	いま	今 の ところ 遺書 も 見つかっ て おら ず 、 警察 で は 「 衝動 的 な 自殺 で は ない か 」 と み て 調べ を 進め て い ます 。
今	14	いま	いかん せ ん 、 10 年 前 の こと な の で 、 今 の 状況 は 全く しら ない の で あしから ず 。
今	1	いま	今 まで 2 度 ほど 食べ に 行き まし た が どちら も 結構 混雑 し て おり まし た 。
今	20	いま	シェフ の 話 だ と 、 魚介 類 を 使っ た メニュー を 増やす 予定 だ そう で 、 今 から 楽しみ です 。
今	7	いま	これ まで 松尾 会長 は 「 今 すぐ 辞める こと に は マイナス も ある 」 など と し て 、 真部 氏 の 続投 を 求め て い た 。
今	2	いま	“ 今 , あちら で デモ やっ て い ます ” と 言っ て い た の で , チラシ を 一 枚 もらっ た 。
今	31	いま	私 が サリン を 発散 し た 車両 で は , 一人 の 方 が 亡くなら れ , また 一人 の 方 は 重篤 な 障害 を 負わ れ , 今 も 闘病 生活 を 続け て おら れ ます 。
今	35	いま	飲み 始め て 2 週間 です が 、 夏 の 日差し や 冷房 で カサカサ に なっ て い た 肌 が 、 3 日 目 くらい から 潤い が 感じ られ て 、 今 は プルプル 肌 に なっ て い ます 。
今	1	いま	今 は 何 で も 言える 。
今	5	いま	マシン は モンツァ で 今 まで 以上 に コンペティティブ に なる と 彼 は いう 。
今	1	いま	今 読ん で も 恐ろしい 内容 な の です が , 本当 に 申し訳 なかっ た と 言う こと を お 伝え し まし た 。
今	6	いま	ネット 利用 者 は , 今 や 国民 の 4 人 に 3 人 に 上る 。
今	31	いま	良寛 は 発句 の 中 に 、 自分 は やがて 息 を 引き取る が 、 あなた に は 私 の 心 の すべて を 示し て みせ た から 、 今 は 思いのこす こと は ない 、 と いう 意味 を 含ま せ た もの で あろう 。
今	1	いま	今 まで すごい コンプレックス だっ た 歯並び 。
今	13	いま	恵比寿 マスカッツ メンバー が 悩み を 抱える 相談 者 に 代わり 、 今 一番 悩まさ れ て いる 相手 に 生 電話 する 。
今	1	いま	今 で も ニスモ フェスティバル の 歴代 レーシング カー バトル で 走行 する と 、 グループ C カー 以上 の ラップ タイム で 走行 する 。
今	25	いま	普通 の 自転 車 に 比べる と どう し て も 高い の で 、 悩み どころ です が パンク し ない タイヤ は 今 自分 が 使っ て いる 自転 車 に だけ で も 付け て みよう か な !
今	9	いま	その 当時 は あり まし た が 、 今 は 駅前 に 再 開発 で 中央町 に 移っ た よう です 。
今	1	いま	今 まで 取り上げ て 来 なかっ た の は , ツッコミ どころ が , 副島 隆彦 氏 の “ 人類 の 月面 着陸 は 無かっ たろう 論 ” や , 武田 了円 氏 の “ 世界 の 支配 者 は 本当 に ユダヤ か ” など に 比べる と 少なかっ た こと が 理由 だ と 述べ て おら れ まし た 。
今	16	いま	人権 先進 国 日本 で 放置 さ れ て き た この 犯罪 は , 今 や ジュネーヴ の 国連 人権 理事 会 や アメリカ の 国務 省 に 於い て 問題 視 さ れる よう に なり まし た 。
今	3	いま	私 は 今 30 で 彼氏 は 39 です 。
今	26	いま	太平 洋 戦争 後 廃社 と なり 社殿 など は 破却 さ れ た が 、 社殿 の 柱 や 鳥居 、 燈籠 など が 今 も 残る 。
今	1	いま	今 、 日本 IBM で は 、 「 ダイバー シティ 3 . 0 」 と いう 新た な 段階 に 突入 し た と 考え て い ます 。
今	2	いま	しかし 今 、 状況 は 変わっ て き た 。
今	12	いま	修治 が 書い た 孝弘 宛て の 手紙 を 渡し 、 今 まで の こと を 謝罪 。
今	18	いま	日共 支配 の 教育 会館 ストリップ 糾弾 , と 真実 を 訴え 続け て き た から 今 なお 闘っ て いける 。
今	16	いま	講習 中 は 結構 大変 だっ た けど 終わっ た 時 の 満足 感 は 今 まで 味わっ た 事 の ない もの でし た 。
今	1	いま	今 の 感覚 だ と 逆 で 、 セダン の ほう が チャラい イメージ です けど ね 。
今	1	いま	今 で も たまに 食べ たく なる 。
今	18	いま	われわれ の 組織 が つぶれれ ば 良い と 日共 や 権力 が 願望 を もっ て も 今 の ところ 手 を 下す 方法 が ない 。
今	1	いま	今 , 何 も それ は 達成 さ れ て い ない 。
今	5	いま	猫 が 亡くなっ た 今 で も 心 から 感謝 し て い ます 。
