kanji	index	reading	sentence
他	17	ほか	種類 も 多数 追加 さ れ 、 中 に は 魔力 を 高める もの や 、 他 の 種族 で は 扱え ない 攻撃 が できる もの が 存在 する 。
他	31	ほか	R - 12 は 1932 年 9 月 27 日 に ニューロンドン を 出航 し ペンシルベニア 州 フィラデルフィア に 向かい 、 1932 年 12 月 7 日 に 退役 、 他 の R 級 潜水 艦 と 共 に 予備 役 艦隊 で 保管 さ れ た 。
他	5	ほか	疲労 回復 で は 他 に 譲る か ?
他	9	ほか	家 から 近い と し て も 、 他 を 選ん だ 方 が 賢明 です 。
他	17	ほか	マカロック の 遺体 は ピーリッジ の 戦場 に 埋葬 さ れ た が 、 後 に 他 の 犠牲 者 達 と 共 に リトルロック の 墓地 に 移葬 さ れ た 。
他	1	ほか	他 の クラウン で 覚え た アビリティ を 使う こと が できる 。
他	1	ほか	他 で は 余 し て もらえ ない 手触り 感 の ヘア カラー は 感動 もの でし た 。
他	13	ほか	雪入 ふれあい の 里 公園 を 起点 と する 登山 道 の 他 、 朝日 峠 から 、 雪入 山 、 青木葉 峠 、 青木葉 山 、 元 青木葉 峠 、 浅間 山 、 閑居 山 、 権現 山 の 順 に 筑波 連山 の 稜線 を 縦走 する 登山 者 も 多い 。
他	18	ほか	旧 シリーズ の TF ゾイド 、 新 シリーズ の 一部 の SS ゾイド の よう に 、 他 の ゾイド の オプション パーツ と なる ゾイド も 存在 する 。
他	1	ほか	他 の 宗教 団体 で も , 芸能 人 等 の 裕福 な 信者 が 多額 の 寄付 を する こと は ある でしょう 。
他	7	ほか	毛 沢東 、 孫文 、 その 他 アジア の 指導 者 は ほぼ 例外 なく 明治 維新 に 何 ら か の 関心 を 持っ て おり 、 その 歴史 的 価値 に つい て の 問い直し が 盛ん と なっ て いる 。
他	33	ほか	型番 は P I から 始まる が 、 16 ビット CPU と MS - DOS が 採用 さ れる 、 C 言語 に よる 開発 環境 が 提供 さ れる など 、 他 の ザウルス シリーズ と は 一線 を 画す 。
他	12	ほか	戦闘 中 に は 、 主人 公 のみ 操作 でき 、 他 の キャラ は AI で 動く 。
他	1	ほか	他 の 乗組 員 は 彼女 を 応援 し 、 レース の 間 に オレンジ を 手渡し た と 伝え られ て いる 。
他	19	ほか	また 一人 5 つ まで 応募 できる と の こと で 既出 の “ カルト くん ” の 他 , “ カルト 君 ” “ カルト さん ” “ カルト ちゃん ” “ カルト たん ” “ カルト にゃん ” , 更に “ カルト どん ” など の カルト シリーズ の 名称 を 応募 する こと も 決定 し た 。
他	22	ほか	1990 年 初頭 に かけ て 、 Geisberg は 徐々 に ビジネス の 表 舞台 から 外れる よう に なり 、 他 の 幹部 が 実権 を 持つ よう に なっ て いっ た 。
他	2	ほか	この 他 に 多数 の 留置 線 を 持つ 。
他	10	タ	一 時期 は 「 WEEKEND 」 で は なく 他 アーティスト の 違う 曲 も 流れ て い た が 、 現在 は 「 WEEKEND 」 に 戻さ れ て いる 。
他	3	ほか	尾道 に 他 に いい 宿 が ない だけ に 、 お すすめ だ が 、 全国 レベル に は 至ら ず 。
他	21	ほか	学生 の 頃 から お せわ に なっ て いる の です が 、 池袋 を 離れ た 今 も 他 に 浮気 し 難い 美容 室 。
他	21	ほか	1910 年 代 後半 頃 から 、 まず 都市 の 中心 業務 地区 から 、 後 に は 都市 の 他 の 地域 で も 、 自動 車 の 渋滞 は 専用 の 交通 路 を 持た ない 交通 事業 者 に とっ て 著しく 妨害 と なる ほど 酷く なっ て き た 。
他	1	ほか	他 の デザイン の クリンナップ は ΖΖ ガンダム 同様 、 岡本 や 明貴 が 行っ て いる 。
他	10	ほか	彼 ら は 更に 自ら の 救命 胴衣 を 他 の 兵士 に 渡し た 。
他	21	ほか	また 当該 施設 に ない 内装 の 写真 も YFWP の サイト に は UP さ れ て おり , 他 に も スマイル ハート が 出入り し て いる 特養 ホーム が ある と 推測 さ れる 。
