kanji	index	reading	sentence
何	15	なに	ひどい 時 は 、 立っ て い て も 座っ て い て も 何 を し て て も 首 が 痛く 、 頭 が 首 に 乗っ てる の が 重く て 辛い と いう 状況 でし た 。
何	22	いず	その 裁判 の 傍聴 を 再三 連絡 し て いる が , 彼 は 黙っ て 口 を 拭っ た まま 何 ら の 対外 的 な 声明 も 公式 に 発表 し ない 。
何	19	なん	毛 沢東 、 孫文 、 その 他 アジア の 指導 者 は ほぼ 例外 なく 明治 維新 に 何 ら か の 関心 を 持っ て おり 、 その 歴史 的 価値 に つい て の 問い直し が 盛ん と なっ て いる 。
何	17	なん	ぱんが の 料理 は どれ も 美味しく て いつ も 満足 し て い ます 、 何 と 言っ て も わざわざ 韓国 から 素材 を 厳選 し て 取り寄せ て いる の で 、 本格 的 な 韓国 料理 を 味わえる の が みりょく です ね 。
何	1	なに	何 が 問題 な の か を 教義 レベル で 議論 し 発表 し て いけ ば いい の で , デモ を し たり と いう 話 で は ない 。
何	22	なん	画面 を 直接 カメラ など で 撮影 し た もの や 、 コンピュータ から 出力 さ れ た ビデオ 信号 を 何 ら か の 外部 記録 装置 を 用い て 記録 し た もの も 含ま れる 場合 が ある 。
何	7	なん	気さく な 先生 な の で 何 で も 聞い て くれる 感じ の 院長 でし た 。
何	4	なん	しかし 私 は 何 と も 思わ ない 。
何	6	なん	昔 の こと は もう 何 と も 思っ て い ない の で 検討 し ましょう と いう こと で , 幸福 の 科学 出版 で 決め , 本日 の 掲載 に 至っ た そう です 。
何	48	なん	堀 氏 は 医療 従事 者 で は ない から 責任 が ない と 2 審 で 認定 さ れ まし た が , 堀 氏 は 薬学 博士 を 標榜 し て い た し , そう いう 詐欺 商法 を やっ て いる もの が 何 の 責任 を 取らさ れる こと も なく お 咎め も ない 。
何	3	なに	これ 以上 何 を 望む と いう の か ?
何	10	なに	机 の 配置 から 備品 の レンタル 迄 、 何 から 何 まで 無料 で わがまま を 聞い て くれる 会議 室 で 感激 し まし た 。
