kanji	index	reading	sentence
初	5	はつ	全米 アルバム チャート にて 初 登場 87 位 を 記録 し た 。
初	24	はつ	私 は 前 から 入店 し て み たかっ た の です が 、 なかなか 機会 が なかっ た の で 、 先日 初 来店 の 際 に は テンション が 上がっ ちゃい まし た !
初	17	はつ	ブレーブス の 川上 憲伸 投手 は 4 日 、 岩村 の パイレーツ と の 試合 で 初 先発 、 斎藤 隆 投手 は 、 5 日 の ナショナルズ 戦 が 初 登板 の 見込み 。
初	31	はつ	ブレーブス の 川上 憲伸 投手 は 4 日 、 岩村 の パイレーツ と の 試合 で 初 先発 、 斎藤 隆 投手 は 、 5 日 の ナショナルズ 戦 が 初 登板 の 見込み 。
初	25	はつ	古巣 ・ ジェノア と の 開幕 戦 で 決勝 ゴール を 挙げる と 、 11 月 16 日 の トリノ 戦 で は 自身 初 の ハット トリック を 達成 し 、 カターニア の セリエ A 通算 100 勝 に 貢献 し た 。
初	64	はつ	これ に Y 22 は , 去る 4 月 25 日 に 統一 教 財団 と 現 財団 の 理事 長 , 文 国進 統一 グループ 理事 長 と 金 孝律 理事 など , 財団 執行 部 の 4 人 を 対象 に , それぞれ 418 億 と 400 億 規模 の 損害 賠償 請求 訴訟 を 提起 し た 状態 で , 初 公判 が ま も なく 始まる 予定 だ 。
初	9	はつ	1908 年 2 月 に は 、 日本 初 の スケート 競技 大会 と なっ た 「 諏訪 湖 一 周 スケート 大会 」 を 開催 し た 。
初	19	はつ	昆 夏美 は これ が メジャー デビュー と なる 現役 大学 生 、 フランク 莉奈 も これ が 初 舞台 と なる 現役 高校 生 。
初	6	はつ	ニューヨーク 、 マジソン スクエア に 初 出店 。
初	17	はつ	1995 - 96 シーズン 、 スポルティング ・ ヒホン から デビュー し 、 その デビュー 戦 で 初 得点 も 記録 し た 。
初	24	はつ	1976 年 に は フランス の 航空 会社 、 エール ・ フランス と とも に 、 コンコルド 機 を 開発 し て 世界 初 の 超 音速 旅客 輸送 サービス を 開始 。
初	8	はつ	1980 年 代 に 、 中国 国内 初 の 排水 処理 施設 が 、 南京 の 市 に 建設 さ れ た 。
初	24	はつ	前述 の よう に 、 ナスターゼ は イオン ・ ティリアック と 組ん で 1966 年 全仏 選手 権 の 男子 ダブルス 決勝 に 初 進出 し た が 、 この コンビ は 4 年 後 の 1970 年 全仏 オープン で 男子 ダブルス 優勝 を 遂げ た 。
初	5	はつ	メジャー デビュー 以降 、 初 の フル アルバム 。
初	1	はつ	初 登場 時 26 歳 。
初	13	はつ	ドラゴン ボール の ファンタジー で 、 中川 翔子 が ショコンクス 役 で 初 参加 。
初	1	はつ	初 登場 時 の 年齢 15 歳 前後 。
初	6	はつ	シングル は オリコン チャート で 初 登場 及び 最高 31 位 を 記録 。
初	21	はつ	1993 年 、 映画 『 仮面 ライダー Z O 』 の 麻生 勝 / 仮面 ライダー Z O 役 で 初 主演 を 務め 、 これ が 映画 初 出演 と なる 。
初	29	はつ	1993 年 、 映画 『 仮面 ライダー Z O 』 の 麻生 勝 / 仮面 ライダー Z O 役 で 初 主演 を 務め 、 これ が 映画 初 出演 と なる 。
初	2	ショ	開館 初 年度 は 来館 者 が 33 万 人 に 上っ た 。
初	57	はつ	2005 年 6 月 25 日 、 デビュー 曲 「 勝手 に シンドバッド 」 から 「 TSUNAMI 」 まで の 44 作 が 12 cm CD と し て 再 発売 さ れ 、 1970 年 代 から 2000 年 代 の 全て の 年代 で オリコン 100 位 以内 ランク イン を 果たし た 史上 初 の 作品 と なっ た 。
初	1	はつ	初 来日 は 1990 年 。
初	22	はつ	2005 年 、 男子 テニス 国別 対抗 戦 ・ デビス カップ で スロバキア チーム は 「 ワールド グループ 」 決勝 に 初 進出 を 果たす 。
初	26	はつ	1953 年 、 チャールズ ・ タウンズ は 、 大学 院 生 の James P . Gordon と Herbert J . Zeiger と 共 に 世界 初 の マイクロ 波 増幅 器 を 開発 し 、 メーザー と 名付け た 。
初	38	ショ	ただ 、 9 年 に 条例 を 施行 し た 大分 市 で は 、 市内 13 か所 で 年 に 1 回 ずつ 市民 と の 意見 交換 会 を 実施 し て いる が 、 初 年度 に 計 約 410 人 だっ た 参加 者 は 、 今年 は 約 360 人 に 減少 。
初	1	はつ	初 来店 でし た が 、 こちら の 美容 室 の スタッフ の 方々 の 優しい 接客 で 緊張 せ ず イメージ を 伝え られ まし た 。
