kanji	index	reading	sentence
力	25	リョク	この 名称 は 、 使用 さ れる 280 MHz 帯 が 建物 内 や 地下 鉄 など で も 到達 可能 な 電波 伝達 力 に 由来 する 。
力	9	リョク	移動 が 高空 属性 で あり 、 移動 力 自体 も 抜群 で あり 、 占領 任務 に 大 活躍 する 。
力	11	ちから	今季 4 度 目 の サヨナラ勝ち は 、 確か な 力 を 証明 する 1 勝 と なっ た 。
力	12	ちから	ボランティア 元年 の 神戸 、 また 日本 海 重油 災害 で 力 を 発揮 し 被災 地 を 救援 し た 、 日本 の 災害 ボランティア の コーディネータ の 先駆 で ある 。
力	52	ちから	連合 国 憲法 は 合衆 国 の 大元 と なっ た 連合 規約 と アメリカ 合衆 国 憲法 の 両方 に ある 程度 基づい て いる が 、 州 の 権利 に つい て の 原理 を より 一層 強調 し た こと を 反映 し て 、 中央 政府 の 力 を 弱め て いる 。
力	5	ちから	現在 は エクストリミス の 力 を 手 に 入れ て いる 。
力	14	リョク	これ に は 第 一 次 世界 大戦 の 消耗 戦 を 破壊 力 の 高い 空軍 力 で 殲滅 戦 に しよう と する 意図 が あっ た 。
力	18	リョク	これ に は 第 一 次 世界 大戦 の 消耗 戦 を 破壊 力 の 高い 空軍 力 で 殲滅 戦 に しよう と する 意図 が あっ た 。
力	29	ちから	実験 を する と 支点 - 力点 間 の 長 さ が 支点 - 作用 点 の 長 さ の 2 倍 で あれ ば 、 得 られる 力 は 加え た 力 の 2 倍 に なる こと が わかる 。
力	33	ちから	実験 を する と 支点 - 力点 間 の 長 さ が 支点 - 作用 点 の 長 さ の 2 倍 で あれ ば 、 得 られる 力 は 加え た 力 の 2 倍 に なる こと が わかる 。
力	9	リョク	しかし カルツァ #ERROR! クライン 理論 は 電磁 気 力 の 精密 測定 と の 整合 性 が とれ ず 、 歴史 から 忘れ去ら れる 。
力	2	リョク	技術 力 は ちょっと 詳しい 素人 レベル 。
力	10	リョク	チーム は カンファレンス ファイナル まで 進み 躍進 の 原動 力 と なっ た 彼 は 非常 に 評価 さ れ た 。
力	13	ちから	以前 の よう に 関係 者 を 次々 と 葬る よう な 力 は もはや あり ませ ん 。
力	4	ちから	しかし 、 その 力 を 制御 し きれ て おら ず 、 暴走 を 起こし やすい 。
力	14	リョク	経験 者 の 中途 採用 や 毎年 の 新卒 採用 に より 制作 力 強化 も し 続け て おり 、 明るい 話題 が 少なく なっ て いる 映像 業 界 の なか 、 フラッグ は 異色 な 存在 と も 言える 会社 で ある 。
力	8	ちから	筋力 で は なく 重み に よる 力 。
力	5	リョク	一方 で 欧州 原子 力 共同 体 は 、 欧州 石炭 鉄鋼 共同 体 の よう な 有効 期限 は 定め られ て い ない ため 存続 し て いる 。
力	23	リョク	アーム を 使う ため に 必要 な シンクロ 率 が 並み の 人間 より ずば抜け て 高い 他 、 HP ・ 防御 力 に も 優れる 。
