kanji	index	reading	sentence
国	37	コク	6 月 19 日 に 保釈 金 を 支払い 釈放 、 7 月 15 日 から イングランド 艦隊 の 義勇 兵 と なり 、 8 月 1 日 に ノルウェー の ベルゲン 港 で オランダ 共和 国 と の 交戦 を 経験 し た 。
国	30	くに	ダム 検証 に つい て も 工程 が 示さ れ て い ない と し て 、 本 年度 分 の 負担 金 の 支払い を 留保 する など 国 と の 対立 を 深め て い た 。
国	12	くに	歳出 の 無 制限 な 増大 を 抑制 する ほか 、 国 の 重点 投資 項目 を 内外 に 示す 意義 も 持つ 。
国	25	コク	1779 年 、 ウィリアム ・ アンド ・ メアリー 大学 に 新しく 創ら れ た 法律 学 教授 に 指名 さ れ 、 アメリカ 合衆 国 で は 最初 の 法律 学 教授 と なっ た 。
国	12	くに	子ども ら を 世話 する 養育 者 を 資金 支援 する 国 の 「 ファミリー ホーム 制度 」 の 活用 を 考え 、 移り住める よう 空き家 も 用意 し た 。
国	16	コク	ブキャナン 郡 は 1837 年 に 設立 さ れ 、 郡名 は 当時 アメリカ 合衆 国 上院 議員 を 務め て おり 、 後 に 第 15 代 アメリカ 合衆 国 大統領 に なっ た ジェームズ ・ ブキャナン に 因ん で 名付け られ た 。
国	31	コク	ブキャナン 郡 は 1837 年 に 設立 さ れ 、 郡名 は 当時 アメリカ 合衆 国 上院 議員 を 務め て おり 、 後 に 第 15 代 アメリカ 合衆 国 大統領 に なっ た ジェームズ ・ ブキャナン に 因ん で 名付け られ た 。
国	12	コク	この ほか 、 Symbian OSS 40 を 搭載 し た 新興 国 向け の 低 価格 端末 、 「 Asha 」 シリーズ 4 機種 も 同時 に 発表 さ れ て いる 。
国	17	コク	6 月 24 日 、 イブラーヒーム ・ パシャ 率いる エジプト 軍 は 現在 の トルコ 共和 国 ガズィアンテプ 付近 で オスマン 帝国 軍 を 撃破 し 、 1 万 4000 人 を 捕虜 に し た 。
国	8	コク	これ に より 、 「 非 共産 国 で あり ながら ソ連 に 宥和 的 姿勢 を 示す 」 こと は 正式 な 政治 用語 で フィンランド 化 と 言わ れる よう に なっ た 。
国	2	コク	連合 国 憲法 は 合衆 国 の 大元 と なっ た 連合 規約 と アメリカ 合衆 国 憲法 の 両方 に ある 程度 基づい て いる が 、 州 の 権利 に つい て の 原理 を より 一層 強調 し た こと を 反映 し て 、 中央 政府 の 力 を 弱め て いる 。
国	6	コク	連合 国 憲法 は 合衆 国 の 大元 と なっ た 連合 規約 と アメリカ 合衆 国 憲法 の 両方 に ある 程度 基づい て いる が 、 州 の 権利 に つい て の 原理 を より 一層 強調 し た こと を 反映 し て 、 中央 政府 の 力 を 弱め て いる 。
国	17	コク	連合 国 憲法 は 合衆 国 の 大元 と なっ た 連合 規約 と アメリカ 合衆 国 憲法 の 両方 に ある 程度 基づい て いる が 、 州 の 権利 に つい て の 原理 を より 一層 強調 し た こと を 反映 し て 、 中央 政府 の 力 を 弱め て いる 。
国	11	コク	この 政策 は 1947 年 3 月 の アメリカ 合衆 国 議会 に おけ る トルーマン ・ ドクトリン 演説 で 表明 さ れ 、 アメリカ 合衆 国 は 共産 主義 を 「 封じ込める 」 ため に 40 億 ドル を 拠出 する こと に なる と 論じ た 。
国	27	コク	この 政策 は 1947 年 3 月 の アメリカ 合衆 国 議会 に おけ る トルーマン ・ ドクトリン 演説 で 表明 さ れ 、 アメリカ 合衆 国 は 共産 主義 を 「 封じ込める 」 ため に 40 億 ドル を 拠出 する こと に なる と 論じ た 。
国	20	くに	この まま の 民主 党 で は , みな さん が 働い て 努力 し て 一生 懸命 お 国 に 納め た お 金 も 無駄 に 使わ れ て しまう と いう の が わかる から , 悔しい ん です 。
国	16	くに	中世 の 宮座 の 祭祀 組織 や 神事 を 伝え て いる こと から 、 国 の 重要 無形 民俗 文化 財 に 指定 さ れ て いる 。
国	10	コク	ジオン ・ ズム ・ ダイクン の 死後 ジオン 共和 国 に 公国 制 を 敷く が 、 劇中 の 時点 で は 実質 的 に 隠居 状態 に ある 。
国	13	くに	「 法 に 基づい て 制度 を 整え て おく と 、 国 の 助成 が 受け られる など 従業 員 、 会社 双方 に とっ て メリット に なる 」 と 話す 。
国	8	コク	場合 に よっ て は トゥヴァ 共和 国 など を 含む こと も ある 。
国	2	コク	枢軸 国 に よる ユーゴスラビア 侵攻 後 、 1941 年 4 月 17 日 に ユーゴスラビア 王国 が 降伏 し た 直後 に 結成 さ れ た 。
国	28	くに	『 ロンリー ガール フィフティーン 』 は 当初 、 表向き は 実在 の ヴィデオ ・ ブロガー と し て 、 You Tube で 高い 人気 を 引き寄せ 、 国 を 超え た 関心 を 呼ん だ 。
国	24	くに	伝統 的 仏堂 建築 に 新 様式 を 取り入れ た 、 近代 仏堂 の 代表 作 と し て 、 2007 年 に 国 の 重要 文化 財 に 指定 さ れ た 。
国	7	コク	1949 年 に 中華 人民 共和 国 政府 に よっ て 一旦 、 全て の ギャンブル と 共 に 禁止 さ れ た 。
国	4	コク	中華 人民 共和 国 の 軍事 費 の 増加 を アメリカ 合衆 国 が 非難 を し て おり 、 中華 人民 共和 国 は 「 中国 の 国防 は 防御 的 な もの で ある し 、 今 まで の 歴史 に 他国 を 侵略 し た こと も ない 」 と 覇権 目的 で は ない と 反論 し て いる 。
国	13	コク	中華 人民 共和 国 の 軍事 費 の 増加 を アメリカ 合衆 国 が 非難 を し て おり 、 中華 人民 共和 国 は 「 中国 の 国防 は 防御 的 な もの で ある し 、 今 まで の 歴史 に 他国 を 侵略 し た こと も ない 」 と 覇権 目的 で は ない と 反論 し て いる 。
