kanji	index	reading	sentence
家	26	ケ	そして 、 第 40 話 で その カオル と 百子 を も 失い 、 完全 に 孤児 に なっ て ゲン と とも に 美山 家 に 身 を 寄せ 、 また ゲン に 連れ添っ て 円盤 生物 を 調査 する パートナー と なる 。
家	18	カ	リスナー から 寄せ られ た ヒット 曲 に 関する 疑問 に つい て 、 歌手 ・ 作詞 家 ・ 作曲 家 など から 証言 を 集め て 紹介 。
家	21	カ	リスナー から 寄せ られ た ヒット 曲 に 関する 疑問 に つい て 、 歌手 ・ 作詞 家 ・ 作曲 家 など から 証言 を 集め て 紹介 。
家	19	カ	現在 は フリー の 野球 解説 者 、 および 中日 スポーツ 、 東京 中日 スポーツ の 野球 評論 家 。
家	1	いえ	家 から 近い と し て も 、 他 を 選ん だ 方 が 賢明 です 。
家	26	カ	研究 と 資料 に 基づく 精密 な 絵 、 イラスト を 製作 する 技量 を もっ た 理科 系 画家 が 、 日本 出版 美術 家 連盟 から 分離 する 形 で 結成 し た 。
家	15	カ	言い換えれ ば 反 社会 的 な カルト 団体 から 名指し で “ 反対 活動 家 ” と 呼称 さ れ た と いう こと は , “ 真っ当 ” な 人物 で ある と の お 墨付き を 得 た こと に なり , ある 意味 光栄 な こと な の か も しれ ない 。
家	10	カ	ファサード は 、 アンセルモ と 同 時代 の 彫刻 家 グリエルモ ・ ダ ・ モデナ 作 の レリーフ で 知ら れる 。
家	3	や	「 つる 家 」 を 強引 に 廃業 に 追い込もう と する も 、 小松原 の 「 土圭 の 間 の 小野寺 」 と し て の 忠告 を 聞き 、 強引 な 手 を 使わ なく なっ た 。
家	4	カ	「 音楽 写真 家 」 を 標榜 し て いる 。
家	10	カ	特に 重要 な の は 、 イタリア 人 芸術 家 カルロ ・ ルドヴィーコ ・ カステッリ の 壁絵 と 、 アンドレア ・ ガラジーニ に よる すばらしい 漆喰 装飾 で ある 。
家	29	カ	チーム は 、 緊急 時 避難 準備 区域 の 市 町 村 が 復旧 計画 の 一部 と し て 除染 計画 を 策定 する 際 、 専門 家 を 派遣 し 、 除染 計画 策定 を 支援 する 。
家	14	カ	音楽 好き の 母親 の 影響 で 、 県立 中学 時代 に 音楽 家 を 志し 、 後継 を 希望 し た 父 の 反対 を 押し切っ て 上京 。
家	23	いえ	大分 県 別府 市 を 中心 と し て 障害 者 の 支援 を 行っ て いる 社会 福祉 法人 太陽 の 家 の 活動 を 応援 し て おり 、 自ら を 「 太陽 の 家 応援 団 」 と 称し て 多く の 支援 を 行っ て いる 。
家	29	カ	だ が ワールド ヒーローズ の 真 の 目的 と は 、 世界 征服 を 企む 悪 の 組織 ダムド が 大会 で 好 成績 を 残し た 武闘 家 を 人間 兵器 と し て スカウト する ため に 主催 さ れ た もの だっ た . . . . . . 。
家	9	カ	彼女 は まだ 幼い ころ から ある 資産 家 の 情婦 と なっ て おり 悪評 が 付きまとわっ て い た が 、 実 は 誇り 高い 女 で あっ た 。
家	7	いえ	自由が丘 に 住ん でる 友達 の 家 に 泊まり に 行っ た とき に ディナー で こちら の イタリア 料理 店 パランダ に 来 まし た 。
家	3	ケ	高家 吉良 家 家老 。
