kanji	index	reading	sentence
後	28	ゴ	配属 さ れ て 最初 の 1 カ月 こそ 「 親切 な 先輩 に 恵まれ て ラッキー だ な 」 と 思っ た もの の 、 その 後 すぐ に 「 ちょっと お せっかい か な 」 と 感じる よう に なり 、 半年 後 に は 「 少し 邪魔 か も 」 と 思い 、 1 年 後 に は 「 生産 性 の 阻害 要因 だ 」 と 確信 する に 至り まし た 。
後	3	ゴ	更に その 後 、 繊維 ・ 水着 のみ なら ず 、 グループ 事業 全体 の PR も 担わ せる ため 、 第 33 代 から 「 旭 化成 グループ キャンペーン モデル 」 に 名称 変更 し 、 今 に 至っ て いる 。
後	19	ゴ	だ が 、 バンド の ピーク と も いえる 傑作 『 COCK AND BULL TUNES 』 を 発表 後 、 人気 絶頂 の まま 解散 し た 。
後	2	ゴ	その 後 、 テレビ 愛知 に 入社 し 、 アナウンサー と 記者 を 兼務 し て い た 。
後	2	ゴ	その 後 、 『 3 年 B 組 金八 先生 3 』 、 『 はい すくーる 落書 』 など 学園 物 を 中心 に 活躍 。
後	5	ゴ	大学 3 年 終了 後 、 1999 年 の NBA ドラフト に 1 巡 目 7 位 で ワシントン ・ ウィザーズ から 指名 を 受け 入団 し た 。
後	15	のち	マカロック の 遺体 は ピーリッジ の 戦場 に 埋葬 さ れ た が 、 後 に 他 の 犠牲 者 達 と 共 に リトルロック の 墓地 に 移葬 さ れ た 。
後	2	ゴ	その 後 は 重賞 戦線 を 走り 、 ダービー 卿 チャレンジ トロフィー で 4 着 、 新潟 大賞 典 は 1番 人気 で 2 着 、 兄弟 制覇 が 期待 さ れ た エプソム カップ で は 1番 人気 で 3 着 と なる など 安定 し た 走り を 見せ た が 勝利 は 挙げ られ ず に 降級 と なっ た 。
後	10	のち	1953 年 まで 州 議会 議員 を 務め た 後 、 市長 に 転身 し た ノリス ・ ポールソン の 議席 を 争う 補欠 選挙 に 勝利 し 、 下院 議員 と なる 。
後	2	ゴ	保存 後 、 スキル 経験 値 30 % アップ 。
後	2	ゴ	その 後 、 副露 もしくは 暗槓 を 行う ごと に 3 枚 ずつ 減っ て いく 。
後	26	ゴ	市長 は 2 月 、 反 市長 派 側 に 電話 で 「 不 信任 案 を 出し て 」 と 要求 し 、 その 後 も 挑発 。
後	2	ゴ	その 後 、 ローテーション 入り し た が 、 球団 は 酷使 を 防ぐ ため 、 9 月 12 日 の 登板 を 最後 に シーズン を 終え た 。
後	2	ゴ	その 後 、 傷跡 が あっ た こと に 気 が つか ない ほど キレイ に なり まし た 。
後	7	ゴ	さらに , 昨年 の 衆院 選 後 に 党 総裁 を 辞任 し て い た 大川 隆法 氏 が , こんど は 党 の 名誉 総裁 に 就任 し まし た 。
