kanji	index	reading	sentence
所	17	ショ	今月 22 日 に は 、 今回 の 現場 から わずか 260 メートル ほど の 事務 所 から 出火 し て おり 、 警察 に よる と 、 放火 の 可能 性 が ある と いう 。
所	16	ショ	関西 鉄道 社長 、 東京 馬車 鉄道 株式 会社 取締 役 、 東京 株式 取引 所 理事 長 、 日清 生命 保険 会社 社長 等 を 歴任 。
所	17	ジョ	終点 の 芋窪 は 、 西武 バス ・ 都営 バス の 「 貯水 池下 」 停留 所 と ほぼ 同じ 場所 に ある が 、 西武 ・ 都営 に も 芋窪 停留 所 が あり 、 これ は 貯水 池下 停留 所 の 一 つ 東 に ある 。
所	33	ジョ	終点 の 芋窪 は 、 西武 バス ・ 都営 バス の 「 貯水 池下 」 停留 所 と ほぼ 同じ 場所 に ある が 、 西武 ・ 都営 に も 芋窪 停留 所 が あり 、 これ は 貯水 池下 停留 所 の 一 つ 東 に ある 。
所	42	ジョ	終点 の 芋窪 は 、 西武 バス ・ 都営 バス の 「 貯水 池下 」 停留 所 と ほぼ 同じ 場所 に ある が 、 西武 ・ 都営 に も 芋窪 停留 所 が あり 、 これ は 貯水 池下 停留 所 の 一 つ 東 に ある 。
所	10	ジョ	1942 年 1 月 26 日 に 江南 造船 所 で の 艦内 修理 改造 完了 。
所	43	ショ	その よう な 経緯 が ある ため 旧 セゾン グループ の 西友 ・ 西武 百貨 店 を はじめ と し て 、 それ 以外 に も イオン グループ ・ 丸井 ・ そごう など の 大型 商業 施設 内 に おけ る 営業 所 を 中心 と し て 店舗 を 展開 し て いる 。
所	8	ジョ	次 の 日 から コナー は 収容 所 の 調査 に 着手 し 、 また 一方 の シュレーター は 密か に 脱走 計画 を 進め て い た 。
所	2	ジョ	発行 所 は “ 太陽 へ の 道 社 ” です が , 発売 元 は “ 星雲 社 ” と なっ て い ます 。
所	9	ショ	森田 氏 は 同市 堤 の 選挙 事務 所 前 で 午前 9 時 から 出陣 式 。
所	43	ショ	2004 年 3 月 末 に 行わ れ た 桂 雀々 の 落語 会 「 落語 の ひろば 30 回 記念 公演 」 で 、 顔 を あわせ た 3 人 の 話 が まとまり 、 師匠 も 所属 する 芸能 事務 所 も 異なる 笑福亭 鶴瓶 、 桂 南光 、 桂 文珍 の 3 人 が 、 2004 年 11 月 より 年 に 1 回 の ペース で 開い て いる 。
所	3	ショ	網走 刑務 所 看守 部長 。
所	18	ショ	更に , “ 土足 で 侵入 ” と 何 度 も 書い て ある が , 脇 所 長 は 記者 と Original Garden の 外 で 話し て いる 間 中 ずっと 上履き を 履い た まま で あっ た 。
所	10	ショ	1946 年 1 月 3 日 、 ワンズワース 刑務 所 に おい て 、 死刑 執行 人 アルバート ・ ピエレポイント に よっ て 絞首 刑 が 執行 さ れ た 。
所	17	ジョ	砲 は 大阪 造兵 廠 が 製作 し 、 車体 は 第 四 陸軍 技術 研究 所 が 担当 し た 。
所	17	ショ	1981 年 、 イタリア の ベレッタ 社 が 1 年 かけ て 164 の 商工 会議 所 、 25 か国 の 大使 館 の 協力 を 得 て 174 社 の 会社 と コンタクト を とり 、 加入 を 募っ た 。
所	8	ショ	今年 7 月 , 東京 高等 裁判 所 が 両親 の 訴え を 棄却 する 判決 を 言い渡し , 一 審 に 続い て 二 審 で も 両親 が 敗訴 し まし た 。
所	12	ジョ	さて , 日本 助産 師 会 が 行っ た , 助産 所 で の ホメオパシー の 実施 実態 に かんする 調査 の 結果 は , 9 月 7 日 に 発表 さ れ まし た 。
所	8	ジョ	島内 に ある 獅子 島 へき地 診療 所 の 送迎 バス 用 の 車両 を 、 送迎 バス が 使用 し ない 日 に 間合い で 使用 する かたち で 運行 し て いる 。
所	3	ショ	本社 事務 所 を 東京 都 千代田 区 に 、 登記 上 の 本社 を 横浜 市 戸塚 区 に 置く 。
所	11	ジョ	端島 炭鉱 から 後 に 長崎 市 内 の 造船 所 へ と 移さ れ た 朝鮮 人 労働 者 に よる と 、 同じ 三菱 の 経営 ながら 造船 所 で は 危険 な 仕事 も なく 十分 な 食事 が 与え られ 、 端島 炭鉱 と は 「 天 と 地 の 差 」 で あっ た と いう 。
