kanji	index	reading	sentence
方	22	ホウ	エンゲージメント 系 の 事例 で 言え ば , 日本 で の 再現 性 は 低い と いう 前提 で い た 方 が イイ の か な と 思っ て い ます 。
方	13	ホウ	家 から 近い と し て も 、 他 を 選ん だ 方 が 賢明 です 。
方	24	ホウ	法戦 は 数 日 に 及ん だ が 、 ついに 道元 の 所見 が 優れ て いる こと を 認め 、 道元 の 方 が 2 歳 年下 で は あっ た が 、 師事 を 願いでる 。
方	12	かた	私 は アトピー で 皮膚 科 の 先生 は 色々 な 方 と 会っ て き まし た 。
方	14	ホウ	“ 断固 と し て 摘発 す べき ” “ 摘発 し た 方 が よい ” を 合わせる と , 85 . 7 % に なり ます 。
方	23	かた	未だ に 過労 死 が なくなら ない こと は 日本 社会 の 不幸 で ある が 、 現代 で は 使わ れ 方 が 変わっ て き て いる 。
方	28	かた	料紙 に つい て は 、 本文 は 中国 製 の 紙 を 使用 し 、 貼紙 は 日本 製 の 紙 で ある と の 見 方 も ある 。
方	15	かた	これ は 従来 の 独身 キャリア ウーマン が 提示 し て き た 働き 方 を 見 て き た 若い 世代 が 、 仕事 のみ で 年老い て いく 女性 の 先輩 を 他山 の 石 と し て 、 積極 的 に 家庭 を 築こう と 試みる もの で ある 。
方	11	ホウ	希望 が 安い 物件 に も かかわら ず スタッフ の 方 が 親切 に 対応 し て いただい て 、 たくさん の 物件 を ご 紹介 いただき 、 物件 を 見つける こと が でき まし た 。
方	9	ホウ	主人 公 が 「 ナマ イキ じゃ ない 方 の 妹 」 と 呼ぶ よう に 、 大人しく 優しい 性格 。
方	11	かた	検索 エンジン で の ネガティブ 要素 で お 困り な 方 は ぜひ ご 検討 ください 。
方	23	かた	関連 する 国内外 の 情報 収集 や 会員 相互 の 意見 交換 等 に 基づき 、 次 世代 電力 ネットワーク の 在り 方 その 実現 に 向け た 方策 の 検討 を 目的 と し て い ます 。
方	7	ホウ	女性 は 歩き やすい 靴 の 方 が 良い と 思う 。
方	4	ホウ	さて 本 の 方 に 話 を 移そう 。
方	3	かた	三条 の 方 の 輿入れ 後 、 八重 が 放っ た 刺客 に よっ て 殺さ れる 。
方	7	かた	九州 外 に お 住まい の 方 で も その 日 の 西 日本 スポーツ の 記事 を 読む こと が できる よう に なり まし た 。
方	25	かた	その 名 の 通り 気功 を 行う 人 の よう です が , プロフィール に は “ 気功 と 同時 進行 で , その 方 の 希望 を 叶える 護符 ” を 用いる と 書い て あり ます 。
方	15	かた	また 、 この 愛情 の 一端 と し て 敵 さえ 好み 、 相手 方 から の 接触 ・ 攻撃 を 歓迎 する こと も ある 。
方	30	かた	東京 に 住ん で い た 頃 は カット だけ で 1 万 円 と いう ヘア スタイリスト さん に 切っ て もらっ て まし た が 、 その 方 より も はるか に 上手 。
方	6	かた	タイミング と ボール の 見送り 方 、 スイング の 滑らか さ 、 打球 の 勢い と 、 いろんな こと が 良く なっ て き て いる 。
方	11	ホウ	それ なら ば 、 お 店 プリント を し た 方 が メリット が 多い と 私 は 思っ て い ます 。
方	40	かた	翌 3 年 6 月 22 日 、 伴 の 潜伏 する 大安 寺 村 の 慶雲 庵 に 村松 藩 の 捕吏 が 殺到 、 伴 は 捕吏 の 一人 を 板戸 越し に 刺し た 後 相手 方 の 怯ん だ 隙 に 自刃 し て 果て た と いう 。
方	14	ホウ	混ん で いる 場合 多い の で 、 電話 で 確認 し た 方 が 良い と 思い ます 。
方	2	かた	鍛え 方 に よっ て は 様々 に 色合い が 変化 し 、 その 色彩 を 演出 する の も また 鍛冶 師 の 腕 の 見せ所 だ そう だ 。
方	22	かた	私 が サリン を 発散 し た 車両 で は , 一人 の 方 が 亡くなら れ , また 一人 の 方 は 重篤 な 障害 を 負わ れ , 今 も 闘病 生活 を 続け て おら れ ます 。
方	12	かた	大分 の 美容 室 フォーリア さん 店長 が 明るく て 面白い 方 な の で 、 あっ と いう 間 に 終わっ ちゃう 感じ です !
方	27	かた	むしろ , キャラクター の 成長 や , ソウル の コレクション など , RPG の 要素 を 強め た こと で , より 個性 的 な 戦い 方 が できる よう に なり ます 。
方	21	かた	もし か し たら 保険 に お 金 を かけ 過ぎ て いる か も と 思いあたる 節 が ある 方 は ぜひ 一 度 足 を 運ぶ こと を オ ススメ し ます 。
方	2	かた	オーナー 方 の ホスピタリティ に 感動 し まし た !
方	20	ホウ	タイ の 華人 は 、 同化 の 傾向 が 大きく 、 タイ 人 で ある と 言う 意識 の 方 が 強い と いわ れ 、 中国 人 に 対し て も あまり 目立っ た 友好 を 示す わけ で は ない 。
方	10	ホウ	ただ 、 現在 は たばこ の 駆け込み 需要 の 方 が 多く 、 商品 部 の 千田 豊一 バイヤー は 「 禁煙 関連 商品 の 需要 が 本格 化 する の は 10 月 以降 で は ない か 」 と みる 。
方	7	ホウ	さらに “ 医学 会 ” の 方 の 理事 で 東京 女子 医大 准 教授 の 川嶋 朗 氏 が , “ 女性 自身 ” 9 月 21 日 号 に 登場 。
方	15	かた	田舎 に ある に も かかわら ず 、 鹿屋 市 内 の 奥 様 方 御 用達 の お 店 。
方	2	かた	考え 方 は 様々 で 、 親 と 一緒 に 暮らす 、 子育て の し やすい 地域 や 子育て 支援 が 充実 し て いる 行政 区域 に 引っ越す 、 職住 近接 に なる よう に 引っ越す 等々 、 それぞれ の 事情 や 考え 方 に 応じ て 行わ れ て いる 。
方	13	かた	今後 の 統一 グループ の 経営 見通し に つい て は 見 方 が 分かれる 。
方	11	かた	蔵 が 二 つ です が 、 酒気 帯び の 方 と 妊婦 さん は だめ です 。
方	48	かた	しかし 本紙 に おけ る マンガ の 表現 は , 幸福 の 科学 や 大川 総裁 に 対し て 一般 的 に その よう な 評価 が ある こと を 指摘 する 文脈 で は なく , マンガ の 登場 人物 が 両者 を 嘲笑 する 描き 方 でし た 。
方	18	かた	小沢 鋭仁 環境 相 は 環境 省 内 で 記者 会見 を 開き 「 行政 の あり 方 を 反省 し 、 お わび の 気持ち で いっぱい だ 」 と 謝罪 し た 上 で 、 「 水俣 病 問題 の 全面 的 な 解決 に 向け て 取り組ん で いく ため の 、 確か な 糸口 が 開か れ た 」 と 述べ た 。
方	14	ホウ	女性 は 嫌 な 人 も いる の で 気 に し た 方 が よい か な !
方	9	かた	無料 メンバー 登録 が お 済み で ない 方 は こちら より お 申込み ください 。
方	5	かた	「 パネル の 取り 方 で 厳しい 発言 を する と 、 休憩 時間 に 『 ごめん なさい ね 』 など と フォロー し て まし た 」 と 加藤 アナ は 言う 。
方	4	かた	それ で 生き 方 、 変わり ます か ?
方	19	かた	一方 、 きれい な 企画 書 ・ 提案 書 を 作る こと に 時間 を 費やし て いる 方 、 図解 や アニメーション の 凝り すぎる 方 、 文字 だけ の 資料 と なる 方 など 、 効率 的 ・ 効果 的 に 使用 し て いる 方 は 少ない 現状 に ある 。
方	27	かた	一方 、 きれい な 企画 書 ・ 提案 書 を 作る こと に 時間 を 費やし て いる 方 、 図解 や アニメーション の 凝り すぎる 方 、 文字 だけ の 資料 と なる 方 など 、 効率 的 ・ 効果 的 に 使用 し て いる 方 は 少ない 現状 に ある 。
