kanji	index	reading	sentence
生	7	セイ	『 三十 五 人 の 小学 生 』 など の 作品 を 収録 し て いる 。
生	8	セイ	一緒 に 学徒 動員 し た 同級 生 ら に 見せ て 17 歳 当時 の 思い出 を 語り合っ て いる 。
生	1	セイ	生 合成 に も 使わ れ て いる グルタミン 酸 デヒドロゲナーゼ や 、 アミノ トランスフェラーゼ 、 グルタミン 酸 合成 酵素 など の 酵素 と 補 酵素 の 作用 に よっ て 、 それぞれ 異なる 原料 から 製造 する 方法 も ある 。
生	2	セイ	上級 生 の 豊富 な 経験 と 下級 生 の 高い 能力 が 融合 する こと で 、 もっと もっと 強い チーム に なれる 。
生	9	セイ	上級 生 の 豊富 な 経験 と 下級 生 の 高い 能力 が 融合 する こと で 、 もっと もっと 強い チーム に なれる 。
生	2	セイ	中学 生 ながら デモ に 加わっ た 。
生	17	なま	「 ヒマラヤ の ケーキ 」 と し て 、 また 「 本丸 シュー クリーム 」 ・ 生 チョコレート 「 美術 館 の 石畳 」 ・ チョコレート 菓子 「 コーチン エッグ 」 ・ 「 ナゴヤ プリン 」 ・ 赤 味噌 を 用い た 「 みそ サブレ 」 など の 特色 ある 商品 で も 知ら れ た 。
生	19	セイ	雪印 工場 を フル 稼動 し て も 間に合わ ない 程 の 売れ行き を 見せ 、 女子 高 生 を 中心 に 人気 が あっ た 。
生	12	セイ	昆 夏美 は これ が メジャー デビュー と なる 現役 大学 生 、 フランク 莉奈 も これ が 初 舞台 と なる 現役 高校 生 。
生	25	セイ	昆 夏美 は これ が メジャー デビュー と なる 現役 大学 生 、 フランク 莉奈 も これ が 初 舞台 と なる 現役 高校 生 。
生	28	なま	You Tube で も 、 いくら か 、 アップロード さ れ て いる この 歌 に ちなん で 、 スール と 名づけ られ た ブエノスアイレス の タンゴ 生 演奏 の 店 が ある 。
生	6	セイ	筒井 の 娘 で 中学 生 。
生	9	セイ	拝観 料 は 大人 千 円 、 小中学 生 300 円 。
生	7	セイ	麗花 の クラス に 教育 実習 生 と し て やっ て 来る 。
生	5	セイ	参加 者 は 高校 生 、 大学 生 、 企業 、 他 の 組織 と 多岐 に 渡る 。
生	8	セイ	アット ホーム な 塾 で 、 小学 生 から 高校 受験 まで 、 幅広く 対応 し て い ます 。
生	2	セイ	卒業 生 は 大阪 市 立 玉津 中 学校 に 進学 する 。
生	6	セイ	声 - 河原木 志穂 高校 生 。
生	5	セイ	妹 は 、 医学 生 の 彼 が いる 短大 生 。
生	11	セイ	妹 は 、 医学 生 の 彼 が いる 短大 生 。
生	8	セイ	この 間 、 552 人 の 卒業 生 を 輩出 し た 。
生	28	なま	優柔 不断 な 青年 の 役 、 コミカル な 役 、 ひねくれ者 の 役 など くせ の ある 役柄 を 演じる こと が 多く 、 「 キリン 生 烏龍 」 など の インパクト の ある CM 出演 が ある 。
生	7	セイ	各 百貨 店 は 、 大学 生 が 制作 し た 造形 作品 を ショー ウインドー に 飾っ たり 、 出入り 口 付近 に 家族 で 楽しめる 影絵 の セット を 設ける など 客 の 呼び込み に 工夫 を 凝らし て いる 。
生	10	セイ	これ から ゴールデン ウィーク に かけ て , 大学 生 や 高校 生 に 対する カルト 集団 の 勧誘 活動 が 激化 し ます 。
生	11	セイ	1953 年 、 チャールズ ・ タウンズ は 、 大学 院 生 の James P . Gordon と Herbert J . Zeiger と 共 に 世界 初 の マイクロ 波 増幅 器 を 開発 し 、 メーザー と 名付け た 。
生	2	セイ	転校 生 や 時 を かける 少女 の 頃 は まだ 尾道 三 部 作 と 呼ば れ て おら ず 、 続く さびしんぼう が 撮ら れ た こと で 、 これ ら の 3 本 が 尾道 三 部 作 と 言わ れる よう に なっ た 。
生	13	セイ	メタトロン の 戦い を 生き延び た 後 、 外伝 で は 高校 生 に なっ て おり 、 多紀 の 再 覚醒 を 目指し 猛 勉強 中 。
生	1	なま	生 カキ が 大好き な うち の 家族 は 、 この 時期 に なる と 久良一 へ 行く 回数 が 増え ます 。
生	6	セイ	当時 は 「 女子 高 生 エロ 漫画 家 」 と いう 触れ込み で 売り出さ れ て い た 。
生	7	セイ	教化 は 二 世 が 小学 生 に なる と 始まる 。
生	5	セイ	その 後 、 高校 生 に 向け た 「 生き 方 ナビ 」 、 「 世界 で いちばん 乗り たい 車 」 「 知識 ゼロ から の 車選び 」 を 執筆 。
生	2	セイ	小学 生 。
生	20	なま	通常 は 、 機材 から 流れる 音楽 に 合わせ て 踊る が 、 スタテン アイランド ・ ラグタイム バンド の 生 演奏 を バック に 踊る 時 も ある 。
生	3	なま	特に 上 生 菓子 が 好き 。
