kanji	index	reading	sentence
町	7	まち	焼肉 店 激戦 区 の この 町 !
町	8	チョウ	本社 は 宮崎 県 西臼杵 郡 高千穂 町 大字 三田井 1447 - 1 。
町	33	まち	東京 電力 は 26 日 14 時 10 分 に 報告 し て い た が 、 その 時点 で 事故 から 22 時間 経過 し て い た こと を 大熊 町 は 強く 批判 し 、 「 地元 を ないがしろ に し 、 場合 に よっ て は その 信用 を 失っ て も やむ を え ない 」 と 述懐 し て いる 。
町	17	まち	20 世紀 初頭 に は 建設 が 盛ん に 行わ れ た が 、 イクル の 町 は 緑 の 地域 を 何 箇所 か その まま の 姿 で 残し て おく こと に 成功 し 、 現在 ブリュッセル 地域 の 多く の 富豪 を 惹きつける 結果 と なっ て いる 。
町	11	チョウ	チーム は 、 緊急 時 避難 準備 区域 の 市 町 村 が 復旧 計画 の 一部 と し て 除染 計画 を 策定 する 際 、 専門 家 を 派遣 し 、 除染 計画 策定 を 支援 する 。
町	6	まち	マナベ と ターニャ が 住む 町 の 市 議会 議員 。
町	7	まち	歴史 的 な 建物 は 、 町 を 愛する 人々 の 心 が あっ て こそ 魂 が 宿る もの だ と 思い ます 。
町	7	チョウ	新た に 指定 さ れる 美郷 町 で は 「 特産 品 の 開発 など ソフト 事業 も 含め て 独自 の 過疎 計画 を 策定 し 町 の 活性 化 に つなげ たい 」 と 話し て い ます 。
町	28	まち	新た に 指定 さ れる 美郷 町 で は 「 特産 品 の 開発 など ソフト 事業 も 含め て 独自 の 過疎 計画 を 策定 し 町 の 活性 化 に つなげ たい 」 と 話し て い ます 。
町	25	まち	ほとんど は 、 ゴールド ラッシュ の 頃 に 、 金鉱 を 目当て に 集まっ た 者 たち に よっ て 形成 さ れ た 町 で あっ た が 、 金鉱 が 掘り つくさ れる と ほとんど が ゴースト タウン と 化し た 。
町	10	チョウ	演習 場 の 入り口 に 近い 由布 市 湯布院 町 の 若杉 地区 で は 、 タクシー 送迎 を 実施 せ ず 、 町 が ガソリン 代 を 支給 し 、 保護 者 が 送り迎え を する 。
町	24	まち	演習 場 の 入り口 に 近い 由布 市 湯布院 町 の 若杉 地区 で は 、 タクシー 送迎 を 実施 せ ず 、 町 が ガソリン 代 を 支給 し 、 保護 者 が 送り迎え を する 。
町	24	チョウ	観光 地 の 安曇野 市 から 北 に 向かう だけ で 、 安曇野 と 北アルプス の 眺望 が とても いい 感じ の 池田 町 。
町	24	まち	州都 イルクーツク から は 北 へ 710 km 、 バイカル 湖 北端 から は 北北西 へ 240 km 、 レナ 川 上流 の 町 北東 へ 170 km 。
町	1	まち	町 の イベント など に 積極 的 に 関わり 、 まちづくり に 若い 世代 の 視点 を 反映 さ せる と とも に 、 若者 同士 の 交流 も 深める 狙い だ 。
町	5	まち	秋保 温泉 と 川崎 町 を 最短 距離 で 結ぶ 県道 で ある が 、 川崎 町 に 入り しばらく 走る と 急 勾配 と 急 カーブ が 続き 、 冬場 は スリップ 事故 が 起こり やすい の で 注意 が 必要 。
町	6	チョウ	現在 で も 、 朝霧 町 と 大学 を 行き来 する の に 便利 で ある 。
町	30	まち	セイコー エプソン に よる と 、 工場 で 生産 し て い た 携帯 電話 の 基地 局 向け 部品 の 一部 は 9 日 から 長野 県 箕輪 町 に ある 工場 で の 代替 生産 を 始め た 。
町	1	まち	町 に は ハイテク 企業 が 集中 し て いる の で 、 ロシア の シリコンバレー と 呼ば れ て いる 。
町	14	まち	2006 年 2 月 20 日 に 渋川 市 、 北群馬 郡 伊香保 町 、 小野上 村 、 子持 村 、 勢多 郡 赤城 村 と とも に 新設 合併 し た 。
町	14	まち	岡山 県 倉敷 市 出身 で 、 倉敷 市 および 青森 県 百石 町 の 名誉 市民 ・ 名誉 町民 。
町	8	まち	31 日 午後 、 輪島 市 光浦 町 です 。
町	6	まち	戸田 店長 は 「 箕輪 町 の 農産 物 を 使っ た 箕輪 町 オリジナル の 特産 品 を 作り 、 全国 に も 発信 し て いき たい 」 と 話し て まし た 。
町	10	チョウ	この 事故 は 18 日 、 香川 県 多度津 町 沖 の 瀬戸 内海 で 第 六 管区 海上 保安 部 の ヘリコプター が 送電 線 と 接触 、 墜落 し 、 乗員 5 人 の うち 4 人 が 死亡 し た もの です 。
町	19	まち	しかし ほか の 様々 な 宗教 タウン と 比べ て も , 信濃町 は 際立っ て 特殊 な 町 だ 。
町	9	まち	広州 の 主な ショッピング スポット は いずれ も 町 の 中心 エリア に 位置 し て おり 、 ここ を 訪れ た 内外 の 観光 客 は 自分 の 好み に 合わせ て 選ぶ こと が でき ます 。
町	13	まち	校舎 及び 事務 局 は 広島 県 広島 市 中 区 中島 町 に あっ た 。
町	28	チョウ	近年 、 「 平和 大通り リニューアル 事業 」 と し て 緑地 帯 再 整備 や 現橋 の 架替 と 歩道 橋 併設 、 西 区 天満 町 の クランク 解消 の ため 広島 電鉄 本線 の 延伸 が 計画 さ れ て いる 。
町	25	まち	佐助 は ひょんな ところ から 陰謀 の 渦中 に あっ た 小藩 の 家老 の 娘 ・ お市 を 守ろう と 、 京 の 町 へ と やっ て き た 。
町	19	チョウ	合併 後 、 2011 年 まで は 旧 町域 に 都城 市 の 地域 自治 区 「 山之口 町 」 が 設置 さ れ 、 2012 年 以降 は 都城 市 の 地名 と し て 残存 し て いる 。
町	4	チョウ	しかし 、 菊川 町 対 小笠 町 と いう 対立 を 避け たい と の 意向 を 示し 、 市長 選挙 で は 菊川 町 の 町長 太田 順一 を 推し 、 自ら は 身 を 引い た 。
町	7	チョウ	しかし 、 菊川 町 対 小笠 町 と いう 対立 を 避け たい と の 意向 を 示し 、 市長 選挙 で は 菊川 町 の 町長 太田 順一 を 推し 、 自ら は 身 を 引い た 。
町	25	チョウ	しかし 、 菊川 町 対 小笠 町 と いう 対立 を 避け たい と の 意向 を 示し 、 市長 選挙 で は 菊川 町 の 町長 太田 順一 を 推し 、 自ら は 身 を 引い た 。
町	5	まち	キリスト 教 徒 の 町 と し て 再生 し た の は 1256 年 で ある 。
町	9	まち	最終 的 に は トニー に よっ て 町 中 の チンピラ や 組織 は 全て 倒さ れ 、 争い が 沈静 化 し た 様子 。
町	2	チョウ	足寄 町 東部 、 国道 241 号 を 阿寒 湖 畔 温泉 から オンネトー 方面 へ 20 分 程度 西進 し た 地点 に ある 。
町	2	まち	茨城 町 は 4 日 、 対象 の 2286 世帯 の ほとんど に 対し 、 口座 振り込み で 手当 を 支給 し た 。
町	9	まち	いなべ 市 藤原 町 坂本 - 同市 藤原 町 下野尻 を 以下 の 路線 バス が 通過 する 。
町	29	まち	宴会 が 入っ て 忙しかっ た の か も 知れ ない が 、 接客 は 最悪 、 味 も 最低 、 刺身 の 盛り合わせ は 水 っぽく 、 町 の スーパー で 売っ て いる 最低 ランク の 刺身 と 同じ 味 。
町	9	まち	古町 の 老舗 店 店主 から 店 や 町 の 歴史 を 聞く 「 古町 老舗 ・ 名店 巡り コース 」 や 「 西 大畑 ・ 先人 の 偉業 を たどる お 屋敷町 散歩 コース 」 など 12 コース あり 、 一 日 2 コース ずつ 開く 。
