kanji	index	reading	sentence
者	19	シャ	元 ダイエー の 藤本 博史 ら と 並び 、 プロ 野球 選手 に は 珍しい 柔道 の 有段 者 で ある 。
者	7	シャ	現在 は フリー の 野球 解説 者 、 および 中日 スポーツ 、 東京 中日 スポーツ の 野球 評論 家 。
者	6	もの	殺害 遺品 を 所有 する 者 の こと で 、 基本 的 に 殺人 鬼 の 子孫 が 選ば れる 。
者	16	シャ	一方 の 産経 新聞 グループ で デジタル 事業 を 担当 する 産経 デジタル の 担当 者 は , 本紙 の 取材 に 対し , こう 語っ て い ます 。
者	20	シャ	マカロック の 遺体 は ピーリッジ の 戦場 に 埋葬 さ れ た が 、 後 に 他 の 犠牲 者 達 と 共 に リトルロック の 墓地 に 移葬 さ れ た 。
者	10	シャ	1973 年 から 、 10 月 の 各賞 受賞 者 発表 時点 で 生存 し て いる 必要 が ある が 、 その 後 死亡 し て も 取り消さ れ ない こと に なり 、 その 規定 に より 1996 年 経済 学 賞 の ウィリアム ・ ヴィックリー は 授賞 式 前 に 亡くなっ て も 受賞 が 取り消さ れ なかっ た 。
者	17	シャ	ウォール ストリート に 対する 国民 の 深い 憤り を 背景 に 、 金融 業 界 関係 者 は 自身 の 行為 が もたらす 社会 的 影響 を 忘れ て しまっ た と 批判 し 、 上院 で の 法案 審議 を 支持 する よう 要請 。
者	2	シャ	部外 者 の 発言 を 規制 する 動き に 対し 、 防衛 省 ・ 自衛 隊 内部 から は 「 民主 党 政権 を 批判 し た から で あり 、 言論 封殺 で は ない か 」 と 疑問 と 反発 の 声 が 上がっ て いる 。
者	22	シャ	ウラン 濃縮 プラント ・ プルトニウム 生産 炉 の 各 巨大 工場 の 建設 、 そして オッペンハイマー が 率いる 優秀 な 科学 者 を 全米 から 集め 、 アメリカ の 軍 ・ 産 ・ 学 の 総力 を 挙げ た 国家 プロジェクト と なっ た 。
者	8	シャ	これ に より ラテン 系 の 聖職 者 は 権威 が 弱まり 、 教会 消失 の 一因 と なっ た 。
者	51	もの	張良 は 自ら の 将 と し て の 不足 を 自覚 し て おり 、 それ まで も 何 度 か 大将 たち に 出会っ て は 自ら の 兵法 を 説き 、 自分 を 用いる よう に 希望 し て い た が 、 聞く 耳 を 持つ 者 は い なかっ た 。
者	7	シャ	尚 , 統一 教会 が 被害 者 面 で 展開 する “ 拉致 監禁 キャンペーン ” と , 宣伝 臭 漂う U peace に つい て は 本稿 で は 触れ ない 。
者	3	シャ	ただ 傍観 者 と し て テレビ や インターネット を 頭 を 悩ま せ て いる だけ で は , 第 2 次 的 な 災害 を 防ぐ こと は でき ませ ん 。
者	10	もの	言葉 と 身体 の 動作 が 一致 し ない 者 、 文章 を 逆 まわし に 口 に し て しまう 者 、 幼児 的 な 罵倒 語 を 必ず 混ぜ て しまう 者 。
者	11	シャ	毛 沢東 、 孫文 、 その 他 アジア の 指導 者 は ほぼ 例外 なく 明治 維新 に 何 ら か の 関心 を 持っ て おり 、 その 歴史 的 価値 に つい て の 問い直し が 盛ん と なっ て いる 。
者	3	シャ	すでに 被害 者 の 旅人 氏 ら アンチ の 人々 が , “ 旅人 大 空襲 ” “ サカザキ ” を 名乗る 人物 の IP アドレス を 発信 地 など を 割り出し , ブログ や 関連 掲示 板 に 掲載 し て い ます 。
者	28	シャ	1963 年 8 月 21 日 深夜 に 行わ れ た 特殊 部隊 に よる サーロイ 寺 へ の 襲撃 で は 数百 人 も の 死傷 者 が 出 た と さ れ て いる 。
者	2	シャ	責任 者 は 誰 です か ?
者	8	シャ	PTC の 歴史 は ロシア の 数学 者 で あっ た Samuel Geisberg 博士 から 始まる 。
者	27	シャ	Zeus を 利用 し た 悪質 な コード 攻撃 の 収益 性 は 高く 、 2010 年 9 月 に 逮捕 さ れ た サイバー 犯罪 者 は 、 Zeus ボット ネット で 18 か月 間 に 渡っ て オン ライン 銀行 口座 や 株 取引 口座 から 7 , 0 万 ドル 以上 の 窃盗 を 働い て い た そう だ 。
者	13	シャ	この 権限 は 、 法令 の 一部 、 あるいは 、 著作 権 者 と の 契約 に より 、 利益 を 与える ため に 、 使用 さ れる 。
者	11	シャ	大分 県 別府 市 を 中心 と し て 障害 者 の 支援 を 行っ て いる 社会 福祉 法人 太陽 の 家 の 活動 を 応援 し て おり 、 自ら を 「 太陽 の 家 応援 団 」 と 称し て 多く の 支援 を 行っ て いる 。
者	21	シャ	2012 年 から は 勝崎 耕世 が コンディショニング コーチ と し て 在籍 する など 、 時折 日本 人 指導 者 が いる 。
者	5	シャ	40 人 の 科学 者 が ヒーリー に 乗り込み 、 5 週間 かけ て 北極 海 の 海洋 や 海氷 の サンプル を 集め 、 北極 海 に おけ る 変化 が 海洋 現象 や 生態 系 に 及ぼし て いる 影響 を 把握 する こと を 目指す 。
者	25	シャ	1941 年 、 滝 近く に 3 番 目 の 橋 「 レインボー ・ ブリッジ 」 が 建設 さ れ 、 車輌 と 歩行 者 が アメリカ 、 カナダ 間 の 国境 を 行き来 できる 。
