kanji	index	reading	sentence
車	5	シャ	通報 時刻 と 救急 車 到着 時刻 は , 消防 署 の 記録 に 基づい て い ます 。
車	6	シャ	ただ 、 国内 二 輪 車 市場 の 低迷 で オークション 相場 の 下落 基調 は 続い て おり 、 平均 売り上げ 単価 は 0 . 5 % 減 と 小幅 ながら マイナス と なっ た 。
車	28	シャ	ルート 設定 は 、 大和 平野 の 複数 の 観光 エリア を 移動 できる ループ 状 ルート と 、 幹線 ルート 近く で 景観 上 も 自転 車 走行 ルート で ある 補助 幹線 ルート 、 大和 平野 外 の 観光 ルート を 結ぶ 高原 ルート を 選定 。
車	29	シャ	また 、 番号 は 漢 数字 で 「 一 」 「 二 」 「 三 」 と 標記 さ れ て おり 、 これ は 9 号 機関 車 まで 続き 、 10 号 以降 は アラビア 数字 に よる 標記 と なっ た 。
車	16	くるま	まず 、 店 の 裏 から 回り込ん で 「 スーパー ウォッシュ 」 と 告げ 、 車 を 預け ます 。
車	3	シャ	日産 自動 車 が 1999 年 、 それ まで 一定 だっ た 鉄鋼 大手 5 社 の 購入 シェア を 抜本 的 に 変更 。
車	13	くるま	変わっ て い た の は , 車好き だっ た 彼 の 車 が かつて の シルビア で は なく , シルバー の 軽 自動 車 だっ た こと くらい だっ た 。
車	26	シャ	変わっ て い た の は , 車好き だっ た 彼 の 車 が かつて の シルビア で は なく , シルバー の 軽 自動 車 だっ た こと くらい だっ た 。
車	4	シャ	現在 、 自動 車 に は 車載 電装 機器 の 増大 に 伴っ て 多く の EEP ROM が 搭載 さ れ て いる の に 加え 、 環境 対応 や 低 燃費 化 、 安全 ・ 快適 な 走行 の ため 、 コンピュータ に よる 制御 が 複雑 に EEP ROM に 記憶 する データ 容量 は 増える 傾向 に ある 。
車	7	くるま	学校 は プノンペン 市街 地 から 車 で 2 時間 ほど の 森林 地帯 に 完成 し 、 約 300 人 の 子 が 通う と いう 。
車	4	シャ	国内 の 自動 車 市場 が 冷え込ん で いる こと も あっ て 、 22 年 9 月 期 は 「 輸出 比率 が 5 割 を 超える か も しれ ない 」 と 樫藤 社長 は 話す 。
車	28	シャ	1910 年 代 後半 頃 から 、 まず 都市 の 中心 業務 地区 から 、 後 に は 都市 の 他 の 地域 で も 、 自動 車 の 渋滞 は 専用 の 交通 路 を 持た ない 交通 事業 者 に とっ て 著しく 妨害 と なる ほど 酷く なっ て き た 。
車	5	シャ	ただ 分割 式 自転 車 は 、 おおよそ 走行 面 で は 優れ て いる もの が 多い 。
