kanji	index	reading	sentence
間	27	カン	標準 軌 へ の 改築 に つい て は 、 1938 年 7 月 1 日 に 完成 し て いる が 、 慶州 - 永川 間 は 、 762 mm 軌間 の まま 残さ れ た 。
間	20	ま	「 つる 家 」 を 強引 に 廃業 に 追い込もう と する も 、 小松原 の 「 土圭 の 間 の 小野寺 」 と し て の 忠告 を 聞き 、 強引 な 手 を 使わ なく なっ た 。
間	12	あいだ	これ ら の こと に つい て , これ まで 長い 間 本当 に 悩み 続け , 心身 とも に 疲れ 果て て しまい まし た 。
間	13	あいだ	6 月 27 日 に は 青島 に 向かい 、 夏 の 間 は 同 方面 で 操艦 と 砲術 の 訓練 を 行っ た 。
間	23	あいだ	検挙 さ れ た 伊藤 は 商大 グループ と の 関係 を 否定 し 続け た まま 年 を 越し 、 その 間 に 肺 浸潤 に 罹患 し た 。
間	1	ま	間 も ない 頃 は 回路 が 不 安定 で 精神 に 異常 を 来し て い た が 、 危機 に 陥っ た ジャン の 声 を 聞い た 時 、 ゴッドジンライ で あっ た 頃 の 正義 を 愛する 心 が 蘇っ た 。
間	13	あいだ	他 の 乗組 員 は 彼女 を 応援 し 、 レース の 間 に オレンジ を 手渡し た と 伝え られ て いる 。
間	30	カン	1941 年 、 滝 近く に 3 番 目 の 橋 「 レインボー ・ ブリッジ 」 が 建設 さ れ 、 車輌 と 歩行 者 が アメリカ 、 カナダ 間 の 国境 を 行き来 できる 。
間	20	カン	1975 年 6 月 1 日 に は 運行 区間 が さらに 短縮 さ れ て パリ - ケルン 間 と なり 、 ケルン 中央 駅 で デュッセルドルフ 、 ドルトムント 方面 および ヴッパータール 、 ハーゲン 方面 へ の インター シティ と 接続 する よう に なっ た 。
間	4	あいだ	たとえば グラファイト の 間 に カリウム が 入り込む C 8 K 、 C 21 K 、 C 36 K 、 C 48 K など が ある 。
間	31	あいだ	更に , “ 土足 で 侵入 ” と 何 度 も 書い て ある が , 脇 所 長 は 記者 と Original Garden の 外 で 話し て いる 間 中 ずっと 上履き を 履い た まま で あっ た 。
間	4	ま	フィリピン は 戦後 間 も なく アメリカ の 植民 地 支配 から の 独立 を 果たし た もの の 、 両国 の 協定 に より アメリカ 軍 は フィリピン 国内 に とどまる こと と なっ た 。
間	27	カン	京王 の バス の 歴史 は 1913 年 4 月 15 日 、 京王 電気 軌道 が 鉄道 未成 区間 の 新宿 駅 〜 笹塚 駅 間 および 乗合 バス を 開業 し た こと に 始まる 。
間	8	カン	実験 を する と 支点 - 力点 間 の 長 さ が 支点 - 作用 点 の 長 さ の 2 倍 で あれ ば 、 得 られる 力 は 加え た 力 の 2 倍 に なる こと が わかる 。
間	7	あいだ	1440 年 から 1447 年 の 間 に フェデリーコ ・ ヴェンティミリア の 所有 の 封建 的 な 街 と なり 17 世紀 の 始め に 自由 に なっ た 。
間	15	あいだ	市民 の 夜間 外出 も 午後 7 時 から 午前 5 時 まで の 間 は 禁止 と なっ た 。
間	2	あいだ	この 間 、 552 人 の 卒業 生 を 輩出 し た 。
間	6	あいだ	摂理 に 詳しい 人々 の 間 で は , 同社 が 教祖 を 支援 する ため の 会社 だっ た の で は ない か , あるいは 摂理 に 献金 する ため に 始め た ビジネス な の で は ない か , と いぶかる 声 も あり ます 。
間	12	カン	加え て 、 2006 年 ごろ から 生じ 始め た シネコン 間 の 競争 の 中 で 、 ミニ シアター 系 と 分類 さ れる 作品 を 上映 する シネコン が 増加 し 、 最終 的 に 上映 館 が 150 館 と いう 映画 も 存在 し て いる 。
間	4	ま	あっ と いう 間 に 起き た 突発 事態 でし た 。
間	32	カン	その 後 の デカルト 派 言語 学 から 生成 文法 など に 至る 近現代 の 言語 学 に も 受け継が れ て いる が 、 その 定義 は 言語 学 者 間 で 一致 し て い ない 。
間	20	ま	大分 の 美容 室 フォーリア さん 店長 が 明るく て 面白い 方 な の で 、 あっ と いう 間 に 終わっ ちゃう 感じ です !
間	20	カン	ムガル 帝国 領 と なっ た 後 、 18 世紀 ~ 19 世紀 に は 、 マラーター 諸 族 間 の 抗争 の 地 と なっ た 。
間	11	カン	プレイヤー キャラクター と し て で は なく 、 ステージ 間 の デモ に 登場 。
間	16	カン	かつて イベリア 半島 から 侵入 し て き た イスラム 勢力 を トゥール ・ ポワティエ 間 の 戦い で 破っ た フランス の 子孫 で ある こと を 誇っ て いる 。
間	8	あいだ	弊社 と イベント 主催 側 と の 間 に は , 何 ら 契約 関係 に 無い こと を 申し上げ ます 。
間	13	あいだ	1997 年 、 当時 交際 し て い た 男性 と の 間 に 子 を 身ごもっ た が 、 男性 は 妊娠 が 判明 する と 彼女 を 捨て た ため 、 シングル マザー と し て 長男 の マリウス を 出産 。
間	16	あいだ	そこ から 先 の IP v 6 通信 は Teredo サーバ と 対象 ホスト の 間 の やり取り に なる の で 、 クライアント PC は Teredo サーバ と の 間 で トンネル を 確立 し て おけ ば よい 。
間	5	あいだ	川 は 水田 の 間 を まず 北 へ 流れ 、 緩やか に 南 へ 流路 を 変える 。
間	5	カン	この 鴻巣 - 熊谷 間 は 河川 等 水面 と ほぼ 同じ 高 さ の 平面 上 を 走る 。
間	7	あいだ	明治 時代 の 女 学生 の 間 で 流行 し 、 その 後 共通 語 の 一部 と し て 全国 に 広まっ た もの で ある 。
間	2	カン	日中 間 の 首脳 会談 や 、 民間 交流 で も 停止 し て いる もの が ある が 、 どう 手 を つけ て いく の か
間	26	カン	また 特急 用 に 残っ た サ 3020 形 の うち 6 両 は 名阪 乙 特急 と 連絡 する 伊勢 中川 - 宇治 山田 間 の 準 特急 運用 に 充当 す べく 、 1959 年 12 月 付 で 運転 台 を 設置 さ れ て ク 3120 形 制御 車 と なっ て いる 。
