Homograph	Reading	Type
一	イチ	on
一	イツ	on
一	ひと	kun
一	はじ	kun
一	い	personal name
一	おさむ	personal name
一	か	personal name
一	かず	personal name
一	かつ	personal name
一	はじめ	personal name
一	 ひ	personal name
一	ひで	personal name
一	ひとし	personal name
一	まこと	personal name
一	もと	personal name
乙	オツ	on
乙	イツ	on
乙	おと	kun
乙	きのと	kun
乙	お	personal name
乙	き	personal name
乙	くに	personal name
乙	たか	personal name
乙	つぎ	personal name
乙	つぐ	personal name
九	キュウ	on
九	ク	on
九	ここの	kun
九	あまた	kun
九	かず	personal name
九	ここ	personal name
九	ただ	personal name
九	ちか	personal name
九	ひさ	personal name
九	ひさし	personal name
七	シチ	on
七	シツ	on
七	なな	kun
七	なの	kun
七	かず	personal name
七	な	personal name
十	ジッ	on
十	ジュウ	on
十	ジュッ	on
十	と	kun
十	とお	kun
十	かず	personal name
十	しげ	personal name
十	じつ	personal name
十	そ	personal name
十	ただ	personal name
十	とみ	personal name
十	ひさし	personal name
十	みつ	personal name
十	みつる	personal name
人	ジン	on
人	ニン	on
人	ひと	kun
人	きよ	personal name
人	たみ	personal name
人	と	personal name
人	ひこ	personal name
人	ひとし	personal name
人	め	personal name
二	ニ	on
二	ジ	on
二	ふた	kun
二	かず	personal name
二	つぎ	personal name
二	つぐ	personal name
二	ならぶ	personal name
二	ふ	personal name
入	ニュウ	on
入	ジュ	on
入	ジュウ	on
入	い	kun
入	はい	kun
入	しお	kun
八	ハチ	on
八	や	kun
八	やっ	kun
八	よう	kun
八	かず	personal name
八	は	personal name
八	やつ	personal name
八	わ	personal name
八	わかつ	personal name
力	リキ	on
力	リョク	on
力	ちから	kun
力	つと	kun
力	りき	kun
力	いさお	personal name
力	いさむ	personal name
力	お	personal name
力	か	personal name
力	ちか	personal name
力	つとむ	personal name
力	よし	personal name
力	り	personal name
刀	トウ	on
刀	かたな	kun
刀	と	personal name
刀	はかし	personal name
丁	チョウ	on
丁	テイ	on
丁	トウ	on
丁	あ	kun
丁	ひのと	kun
又	ウ	on
又	ユウ	on
又	また	kun
又	ふたた	kun
又	すけ	personal name
又	たすく	personal name
又	やす	personal name
了	リョウ	on
了	お	kun
了	さと	kun, personal name
了	しま	kun
了	あき	personal name
了	 あきら	personal name
了	おさむ	personal name
了	さとし	personal name
了	さとる	personal name
了	すみ	personal name
了	のり	personal name
下	カ	on
下	ゲ	on
下	お	kun
下	くだ	kun
下	さ	kun
下	した	kun
下	しも	kun
下	もと	kun
口	ク	on
口	コウ	on
口	くち	kun
三	サン	on
三	み	kun
三	みっ	kun
