kanji	index	reading	sentence
上	15	うえ	ホッケー に は デンジャラス プレー の 反則 が ある の で 、 膝 より 上 に ボール を 浮かす こと は 基本 的 に 反則 に なる が 、 その 例外 の 一 つ が この スクープ で ある 。
上	7	うえ	腕前 は お 兄 ちゃん より 上 。
上	25	ジョウ	ルート 設定 は 、 大和 平野 の 複数 の 観光 エリア を 移動 できる ループ 状 ルート と 、 幹線 ルート 近く で 景観 上 も 自転 車 走行 ルート で ある 補助 幹線 ルート 、 大和 平野 外 の 観光 ルート を 結ぶ 高原 ルート を 選定 。
上	12	うえ	これ を 高潮 線 と いう が 、 これ より 少し 上 まで は 波 に よっ て 海水 を かぶり 、 また 海水 が 染み込ん で おり 、 海水 の 影響 が 強い 。
上	2	ジョウ	事実 上 , TOSHI の 離脱 を 認める 内容 です が , TOSHI が 記者 会見 など で 語っ た 内容 に つい て “ 事実 に は まったく 反し て いる ” と し , “ 民事 裁判 や 刑事 告発 等 に 発展 ” する 可能 性 まで 示唆 し て い ます 。
上	20	ジョウ	以下 で は 、 クラウド へ の データ の バックアップ を 行う 際 に 直面 し がち な パフォーマンス 上 の 制約 を 乗り越える ため の ティップス を 紹介 する 。
上	1	うえ	上 に ある よう に カープ ファン に は 特に オ ススメ です が 、 ファン じゃ なく て も 十分 満足 でき ます 。
上	22	ジョウ	仰木 の 里 で は 住民 の 反対 運動 が 起こり , 学園 側 と 住民 と の 話し合い は 事実 上 空転 し て い ます 。
上	19	うえ	DUNGEON エリア に 登場 する タイプ は 神出 鬼没 で 、 倒し て も 頻繁 に 登場 する 上 、 大きな ダメージ を 受け たり ジャック が 自身 から 離れる と ドリル で 床 に 潜っ て 姿 を 消し 、 一定 時間 経つ と ジャック の 前 に 出現 する を 繰り返す 。
上	6	ジョウ	3 段 築成 の 墳丘 上 、 前方 部 中段 テラス 面 および 後円 部 に 葺石 が 見 られ 、 また 円筒 埴輪 、 土師器 、 須恵 器 が 出土 し て いる 。
上	2	ジョウ	設定 上 の 存在 で 本編 で は 言及 さ れ ない 。
