kanji	index	reading	sentence
人	15	ジン	劇場 版 第 2 作 で は 、 生身 の 人間 と 機械 化 人 と の 間 で 生じ た 抗争 に より 廃墟 と 化し て いる 。
人	9	ひと	近く に ある 鳥 九 は 地元 の 人 と の 交流 を 深める の に 最高 。
人	10	ニン	但し 、 この 場合 、 選任 さ れる 清算 人 の 報酬 費用 等 を 予納 する 必要 が あり 、 かなり の 負担 と なる の で あまり 利用 さ れ て い ない 。
人	35	ジン	2人 は 犯行 を 否認 し た が 、 B が 「 A が 射殺 し た 」 と 供述 し た こと 、 パナマ 帽 を A に 買い与え た と する 台湾 人 の 証言 を 得 た こと を 証拠 に 殺人 罪 で 起訴 し た 。
人	16	ひと	海外 から 来 た 友達 や 、 旅館 に 泊まっ た こと の ない 若い 人 を 連れ て 行く と 喜ば れ ます 。
人	33	ジン	63 年 グループ は 、 1950 年 代 の 伝統 的 モデル に なお 縛ら れ て い た 文学 作品 に 対し 批判 的 な 態度 を とっ た 若い 知識 人 たち に よっ て 結成 さ れ た 。
人	10	ジン	神社 は 神社 な の だ が , 日本 人 の 考える 神社 と は かなり 様式 が 異なる よう だ 。
人	8	ジン	特に 重要 な の は 、 イタリア 人 芸術 家 カルロ ・ ルドヴィーコ ・ カステッリ の 壁絵 と 、 アンドレア ・ ガラジーニ に よる すばらしい 漆喰 装飾 で ある 。
人	9	ジン	他 の 宗教 団体 で も , 芸能 人 等 の 裕福 な 信者 が 多額 の 寄付 を する こと は ある でしょう 。
人	14	ひと	また , 繁華 街 の 喫茶 店 や 書店 で ひとり で いる 人 を 勧誘 する と いっ た キャッチ セールス も 行っ て い まし た 。
人	18	ジン	砦 建設 の 理由 は 、 ドイツ の 十字 軍 騎士 ら が 異教 徒 の プルーセン 人 と 戦う に つれ 、 トルソ に 住む プルーセン 人 が 騎士 団 が 征服 し た 地 を 再 征服 する の を 退ける ため で あっ た 。
人	6	ニン	待っ てる 客 が 通行 人 と しょっちゅう モメ てる 。
人	5	ジン	教師 仲間 の 米国 人 の 友人 や 家族 関係 者 の 話 と し て いる 。
人	19	ジン	2012 年 から は 勝崎 耕世 が コンディショニング コーチ と し て 在籍 する など 、 時折 日本 人 指導 者 が いる 。
人	5	ジン	芸能 人 や 有名 人 など タレント ブロガー の 多 さ も 売り物 で ある 。
人	38	ニン	先週 土曜 日 の 夕方 , 名古屋 駅 隣接 の 名鉄 百貨 店 前 の 歩道 周辺 に は アンケート 用紙 と “ GL 文化 センター ” と 書か れ た ファイル を 手 に , 通行 人 に 声 を 掛ける 勧誘 員 の 姿 が あっ た 。
人	11	ニン	地主 から 土地 を 強制 的 に 召し上げ 、 小作 人 に 農地 を 分け与え た 。
人	12	ジン	ただし 、 ガウチョ の よう な 例外 も あり 、 アルゼンチン 人 は ガウチョ で ある こと を 誇る 。
人	6	ジン	この ため 、 非 アラブ 人 は 改宗 し て イスラム 教 徒 に なれ ば 税制 上 の メリット が 得 られる よう に なり 、 かえって アラブ 化 ・ イスラム 化 が 進む こと に なる 。
人	10	ジン	黒沢 は 、 近代 的 自我 を 担う 近代 人 は 一人ひとり が 自ら の 「 個室 」 を 持ち 、 「 個室 群 住居 」 と いう コミュニティ で 暮らす べき だ と 提唱 し た 。
人	12	ひと	子ども たち と 一緒 だっ た けど 、 お 店 の 人 が 優しく て ゆっくり 出来 まし た !
人	10	ひと	普段 の 仲間 と ペア で , 社外 の 人 と ランチ を し て 新しい 発見 を 体験 し ましょう 。
人	11	ニン	一般 に ハイエナ に は 、 「 サバンナ の 掃除 人 」 と し て 死肉 を 漁る と いう 印象 が 強い 。
人	14	ひと	保健 に 関する ポスター を 製作 し たり 、 ケガ を し た 人 を 保健 室 に 連れ て いく など 。
