kanji	index	reading	sentence
側	44	がわ	死亡 し た 少女 の 母親 は 本紙 の 取材 に 対し て “ 和解 で は なく 判決 を 目指し たい ” と の 意向 を 示し て い まし た が , 和解 の 協議 の 席 で , 堀 代表 側 も 和解 を 拒否 。
側	33	がわ	ニコラウス 4 世 は これ を 大いに 歓迎 し て キリスト 教 徒 の 君主 で ある アルグン を 称讃 し 、 返書 で は 「 聖地 エルサレム を キリスト 教 徒 側 に 奪還 し て エルサレム 王国 の 解放 は 遠から ず 容易 に 達成 する で あろう 」 と アルグン の エルサレム 入城 を 進言 し て いる 。
側	7	がわ	移転 先 は 駅 の 反対 側 , 西日暮里 4 丁目 , 開成 高校 の 1 ブロック 裏 に ある 川瀬 ビル 1 階 だ 。
側	9	がわ	市長 は 2 月 、 反 市長 派 側 に 電話 で 「 不 信任 案 を 出し て 」 と 要求 し 、 その 後 も 挑発 。
側	8	がわ	しかし , 中松 氏 と 中井 氏 側 が 掲載 し た 翻訳 文 が , 実 は 全く の 捏造 で ある こと が 判明 し まし た 。
側	6	がわ	それ に 対し て 大学 側 は 指摘 さ れ た 点 に 対し 異議 申し立て を 行っ た が 、 大学 評価 ・ 学位 授与 機構 は 「 意見 申立 に は 理由 が ない 」 と これ を 却下 し た 。
側	9	がわ	戦闘 フェイズ 、 移動 フェイズ は 各 プレイヤー 側 の 任意 で 実行 する か どう か を 選択 できる 。
側	21	がわ	「 庄内 金魚 」 と の 関係 は ハッキリ し て い ない が 、 金魚 産地 庄内 から 宮城 側 に 金魚 を 運ぶ 途中 、 魚取 沼 で 水 を 換え 魚 を 休ま せ 、 その とき の 子孫 が 鉄魚 累代 に つながっ た の で は 、 と の 説 も ある が 、 1993 年 に 行わ れ た 遺伝 子 分析 に よれ ば 金魚 と の 交雑 の 可能 性 は 低い と さ れ て い て 、 在来 の フナ の 突然 変異 で あり 金魚 と は 無 関係 と さ れる 。
側	42	がわ	1940 年 代 に は 山口 県 西部 や 高知 県 南部 、 1960 年 代 に は 淡路 島 へ と 徐々 に 北上 し 、 21 世紀 初頭 に は 福井 県 や 神奈川 県 西部 の 太平 洋 側 で の 越冬 が 確認 さ れ て いる 。
側	14	がわ	仰木 の 里 で は 住民 の 反対 運動 が 起こり , 学園 側 と 住民 と の 話し合い は 事実 上 空転 し て い ます 。
側	4	がわ	ただ 、 地方 側 は 「 全額 国費 で 行う べき だ 」 と 主張 し て おり 、 協議 は 難航 も 予想 さ れる 。
側	3	がわ	しかし 迎え入れる 側 の 企業 に とっ て は 利点 が 多く 、 その ため 中途 採用 や 第 二 新卒 のみ を 対象 に 求人 活動 を する 企業 も 存在 する 。
側	9	がわ	特に 、 3 号 神戸 線 大阪 方面 側 で は 渋滞 する 率 が 非常 に 高い 。
側	19	がわ	作品 は 本人 が 当日 に 描い た 作品 に 限り 、 午後 1 時 まで に 横山 側 の 受付 に 提出 する 。
側	12	がわ	ジブリル 暫定 首相 は 23 日 会見 し 、 評議 会 側 の 民兵 が 大佐 を 拘束 後 、 射殺 し た と の 疑惑 を 改めて 否定 し た 。
側	4	がわ	HOH 被害 者 側 の 代理 人 を 務める 紀藤 正樹 弁護 士 が ブログ で 明らか に し まし た 。
側	16	がわ	だいぶ 時間 が 押し て い た の で , ここ で 幸福 の 科学 側 の コメント を 求める こと は し ませ ん でし た 。
側	2	がわ	アメリカ 側 から 酒屋 通り に 向かう 小船 は ラム ・ ランナー と 呼ば れ 、 荷受 は 主 と し て 漁師 が 副業 と し て 従事 し た 。
側	19	がわ	両親 に 問題 が ない と は 言い ませ ん が , どう 考え て も 宗教 団体 側 の 教義 や 指導 方法 が 根本 的 な 原因 の よう に 思え ます 。
側	13	がわ	モデム 機能 のみ を 持ち 、 その 他 の 機能 を コンピュータ 側 ソフトウェア で 実現 し た もの も ある 。
側	9	がわ	特に スター スクリーム や エアラクニッド 等 の ディセプティコン 側 は キャラクター の 性格 が 変わる ほど お ふざけ が 入れ られ て いる 。
側	7	そば	演 - 尾野 真千子 綱吉 の 側 用人 。
側	15	がわ	気象 庁 は 、 九州 から 東海 地方 に かけ て の 太平 洋 側 は 暴風 と 高波 に 、 西 日本 から 東 日本 の 太平 洋 側 は 大雨 に 警戒 を 呼びかけ て いる 。
