kanji	index	reading	sentence
前	22	まえ	高松 に 3 店舗 を 展開 する 四国 スイーツ の 専門 店 、 ラ ・ ファミーユ で は 、 バレンタイン を 前 に 、 焼か ない チョコレート ケーキ 「 半熟 ザッハトルテ 」 の 発売 を 開始 し まし た 。
前	3	まえ	私 は 前 から 入店 し て み たかっ た の です が 、 なかなか 機会 が なかっ た の で 、 先日 初 来店 の 際 に は テンション が 上がっ ちゃい まし た !
前	52	まえ	1973 年 から 、 10 月 の 各賞 受賞 者 発表 時点 で 生存 し て いる 必要 が ある が 、 その 後 死亡 し て も 取り消さ れ ない こと に なり 、 その 規定 に より 1996 年 経済 学 賞 の ウィリアム ・ ヴィックリー は 授賞 式 前 に 亡くなっ て も 受賞 が 取り消さ れ なかっ た 。
前	2	まえ	団地 前 が 一般 車両 は 入ら ない 道路 で 安全 。
前	5	まえ	天井 の カビ が 前 から ひどかっ た の で 、 さすが に そこ は 無理 だろう と あきらめ て い まし た が 、 先週 実家 に 帰っ たら その カビ も かなり きれい に 落ち て い まし た 。
前	11	ゼン	こう し た 事態 を 受け て 、 井川 ・ 前 会長 は 先月 、 引責 辞任 し まし た 。
前	38	まえ	基本 的 に 生活 の 場 で ある 館 だ が 、 非常 の 際 に は 外敵 を 阻む 砦 と も なっ て おり 、 トールキン 自筆 の 挿絵 に 拠れ ば 、 館 の 前 の 橋 を 落とせ ば 外部 から の 侵入 を 阻む こと も 可能 な つくり と なっ て いる 模様 で ある 。
前	10	まえ	森田 氏 は 同市 堤 の 選挙 事務 所 前 で 午前 9 時 から 出陣 式 。
前	14	まえ	「 クラブ 40 」 は 、 ジョン ・ レノン が ビートルズ の デビュー 前 に 使用 し て い た フル アコースティック ギター で ある 。
前	3	まえ	民営 化 前 の 分類 で は 集配 普通 郵便 局 で あっ た 。
前	48	まえ	DUNGEON エリア に 登場 する タイプ は 神出 鬼没 で 、 倒し て も 頻繁 に 登場 する 上 、 大きな ダメージ を 受け たり ジャック が 自身 から 離れる と ドリル で 床 に 潜っ て 姿 を 消し 、 一定 時間 経つ と ジャック の 前 に 出現 する を 繰り返す 。
前	14	まえ	先週 土曜 日 の 夕方 , 名古屋 駅 隣接 の 名鉄 百貨 店 前 の 歩道 周辺 に は アンケート 用紙 と “ GL 文化 センター ” と 書か れ た ファイル を 手 に , 通行 人 に 声 を 掛ける 勧誘 員 の 姿 が あっ た 。
前	8	まえ	会場 の ヨハン 東京 キリスト 教会 の 前 に は 歩道 に まで 人 が 溢れ て い まし た 。
前	1	まえ	前 を 通る と たまに 目 が 合う 。
前	11	まえ	若い 講師 に 不信 感 を 抱か ない よう に 前 もっ て そう 説明 し て いる よう だ 。
前	9	まえ	彼 は それ を 親類 代表 に 渡す 前 に 「 この 内容 が 皆 に とっ て 満足 な もの だっ たら 、 ぼく が ラウレッタ と 結婚 する の 認め て くれる ね 」 と 問いかけ 、 皆 は 了承 する 。
前	4	まえ	しかし 、 正午 前 に ビンラディン 氏 死亡 報道 が 流れ た こと を きっかけ に 、 ドル は 一時 81 . 69 円 まで 上昇 。
前	33	まえ	市内 循環 バス も 運行 さ れ て おり 、 松浦 橋 ・ 東 唐津 ・ 宝当 桟橋 を 経由 し て 唐津 駅 に 至る 東 コース と 、 日赤 病院 前 ・ 西 唐津 駅 ・ 唐津 港 を 経由 し て 大手 口 に 至る 西 コース が ある 。
前	16	まえ	5 月 11 日 , あいにく の 雨 に も かかわら ず , デモ 出発 前 の 集会 場 と なっ た 日比谷 公園 大 音楽 堂 は 傘 を 差し た 人々 で ほぼ 満杯 でし た 。
前	1	まえ	前 型 に 引き続き 木造 船体 で あり 主機 台 が ケヤキ の 集成 材 を 使用 し た 以外 は ベイマツ が 主体 と なっ て いる 。
前	17	ゼン	E 1 は E 5 と 共 に 、 バルト 海 へ 潜水 艦 を 送り込む 前 段階 と し て スカゲラク 海峡 を 偵察 し た 。
前	14	まえ	で も 、 なかなか 人気 で 週末 の 早め の 時間 帯 は 前 もっ て の 予約 は 必須 でしょう 。
前	9	まえ	18 日 の 1 戦 目 の 試合 前 に は 、 ソフト バンク の 秋山 監督 を はじめ 、 小久保 ら へ 次々 に あいさつ まわり 。
前	14	ゼン	テッサリア に は 古く から の 人 の 営み が あり 、 紀元 前 2500 年 頃 の 新 石器 時代 の 遺跡 が ある 。
前	19	まえ	と は いっ て も 、 すぐ に 眠れ ない と いう 人 は 、 まず は 就寝 前 は 読書 で 過ごす など に 切り替え て みる と よい だろう 。
前	45	まえ	サッカー を し て い て 、 本人 なり に これ から が 大事 な 時期 な の で 、 練習 、 試合 は 休み たく ない と 言い 、 騙し騙し 続け て い まし た が 、 しまい に は こちら に 伺う 前 に は 痛み で 自転 車 も こげ なく なっ て い まし た 。
前	1	ゼン	前 代表 は 大迫 基弘 で 、 2011 年 7 月 に 変更 さ れ た 。
前	7	ゼン	同じ 紅野 高校 男子 バレー 部 前 キャプテン の 3 年 生 高橋 と つき合っ て いる 。
前	2	まえ	公園 前 の お 店 横 の 桜 は 見頃 です 。
前	25	まえ	お 客 さん が 増え て くる と 紛れ て しまう 程度 な の で 、 消臭 剤 を 置く と か 、 開店 前 に 消臭 スプレー を まく と か 、 ちょっと し た 気遣い の はず です 。
前	32	まえ	デモ 隊 リーダー の 井口 氏 の 指導 に よる 入念 な リハーサル は 30 分 以上 続き , 12 時 半 を 過ぎ て 漸く 公園 から 文芸 春秋 本社 前 に 移動 を 開始 し た 。
前	3	まえ	透析 開始 前 の 腎 移植 など に より 、 これ ら の 助成 制度 が 適用 さ れ なかっ た 場合 で も 、 保険 診療 で 行わ れ た 場合 は 高額 療養 費 制度 が 設け られ て いる ため 、 極端 に 高額 な 自己 負担 額 が 発生 する こと は ない 。
前	14	まえ	実 は 『 KOF ’ 94 』 で 対戦 格闘 ゲーム デビュー する 前 に 、 『 餓狼 伝説 SPECIAL 』 の 山田 十平衛 の エンディング に カメオ 登場 し て い た 。
前	2	まえ	放送 前 から , 話題 と なっ て い た 南極 大陸 や , 人気 漫画 の 実写 版 , 妖怪 人間 ベム , そして シリーズ を 通し て 好評 で ある 相棒 など の そうそう たる ラインナップ が 広がる 中 , 好評 な の が 松嶋 菜々子 主演 の 家政 婦 の ミタ で ある 。
前	1	まえ	前 に 習っ て いる 子供 に も 厳しく レッスン を つけ て い た 。
前	17	まえ	その 結果 、 1930 年 4 月 5 日 に 東村山 駅 - 村山 貯水 池 前 駅 間 が 村山 線 の 一部 と し て 開業 する に 至る 。
前	14	ゼン	それ を 裏付ける よう に 戦争 後 に 立 候補 し た 紀元 前 98 年 の 法務 官 選挙 で は 民衆 の 支持 を 得 られ ず 落選 、 スッラ は マリウス へ の 敵意 の 再燃 だけ で なく 、 民衆 派 その もの を 「 貴族 の 敵 」 と し て 憎ん で いっ た 。
前	17	まえ	定番 の 焼肉 メニュー が たくさん ブュッフェ スタイル で 並ん で 、 食べ 放題 が 始まる 前 から テンション が 上がり まし た 。
前	4	まえ	せっかく ボール を 前 に 運ん で も 前線 で ボール が 収まら ず 、 ケガ 人 が 多く て 日替わり で メンバー が 変わる の で コンビネーション が 無く 、 相手 陣内 で の つまら ない ミス から SB が 上がっ た スペース を 突か れ 、 相手 の 攻撃 参加 を カバー 出来 ず に フリー で シュート を 撃た れる シーン が 目立ち 、 何 度 か 相手 の シュート ミス に 助け られ は し た もの の 、 最後 に は ヘディング で 競り勝た れ て 先制 点 を 奪わ れ て しまっ た 。
前	2	ゼン	紀元 前 13 世紀 の アッシリア 王 シャルマネセル 1 世 は 、 当時 の 首都 アッシュール から 北 に 離れ た カルフ に 第 二 王宮 を 築き 、 以後 1000 年 ほど の 期間 に わたっ て カルフ は 都市 と し て 存続 し た 。
前	12	まえ	フィラメント から 発し た 電子 は 、 グリッド に 到達 する 前 に 、 グリッド の 周り を 何 周 か 回る 。
前	3	まえ	ゲーム 開始 前 で 難易 度 を 3 段階 選ぶ こと が できる 。
前	4	まえ	この 居酒屋 行く 前 に 失敗 し まし た 。
前	38	まえ	前胸 に は 、 中央 より 左右 に 前後 二 つ 、 その 外側 に 一 つ の 黒斑 、 小楯 板 に は 正中 線 に 沿っ て 前胸 の 少し 後ろ と 後端 より 少し 前 に 縦長 の 黒斑 、 その 両側 中程 に は 、 前 の 黒斑 の 少し 後方 と 、 後ろ の 黒斑 の 前方 に 、 ハ の 字 に 並ん だ 黒斑 が ある 。
前	50	まえ	前胸 に は 、 中央 より 左右 に 前後 二 つ 、 その 外側 に 一 つ の 黒斑 、 小楯 板 に は 正中 線 に 沿っ て 前胸 の 少し 後ろ と 後端 より 少し 前 に 縦長 の 黒斑 、 その 両側 中程 に は 、 前 の 黒斑 の 少し 後方 と 、 後ろ の 黒斑 の 前方 に 、 ハ の 字 に 並ん だ 黒斑 が ある 。
前	24	まえ	これ は 決して , 通常 の 医療 を 拒否 し た と いう 体験 記 で は なく , 手術 を 受ける より 前 の タイミング で 心臓 病 が 治っ た , と いう もの です 。
前	22	まえ	しかし 、 1995 年 の 時点 で 高校 生 だっ た 主人 公 、 辰木 桂 は まだ 神戸 に 引っ越す 前 で 阪神 ・ 淡路 大 震災 を 直接 経験 し て い ない と いう 設定 の ため 、 作中 で の 震災 の 話 は 、 桂 が 被害 の 爪痕 を 見る こと か 、 直接 体験 し た 桂 の 友人 、 金城 和歌子 と その 恋人 、 林浩 の 2人 が 中心 と なっ て 体験 談 を 語る 形 で 描か れ て いる 。
前	4	まえ	私 は 生まれる 前 から 親 が 信者 でし た 。
前	3	まえ	彼 の 前 に 、 ある 日 突然 、 双子 の 妹 と 弟 が 現れ た 。
前	8	まえ	海岸 から も とても 近く 、 玄関 前 の 温水 シャワー など 、 設備 も 十分 でし た 。
前	41	ゼン	だ が 、 開催 費 の 財源 と し て 寄付 金 1000 億 円 を 見込ん だ こと など に つい て 、 市民 から 実現 性 を 疑問 視 する 声 が 上がり 、 主導 し た 秋葉 前 広島 市 長 が 今年 1 月 に 4 選 不 出馬 を 表明 。
前	12	まえ	幹部 で も , いつ の 間 に か みんな の 前 に 出 て こ なく なっ て , こっそり 脱会 し て しまう パターン が 多い の です が , 必ず しも 摂理 を 否定 し て 辞め て いく 人 ばかり で は ない ん です 。
前	30	まえ	2005 - 6 シーズン は 、 前述 の ホーム コート の 大 問題 を はじめ 、 戦力 補強 も 進ま ず 、 大 苦戦 は 間違い なし と の 前 評判 で あっ た が 、 クリス ・ ポール を 中心 に チーム は 一致 団結 、 前年 の 倍 以上 の 勝ち星 を 挙げ 、 シンデレラ チーム と 絶賛 さ れ た 。
前	1	まえ	前 は 犬 の ため に 毎回 、 飛行 機 を チャーター し なきゃ なら なく て 、 ものすごく 費用 が かさん で き た 。
前	15	ゼン	その 頃 、 由乃 に 呼ば れ た 蓉子 ・ 聖 ・ 江利子 の 前 “ 薔薇 さま ” たち が リリアン 女 学園 を 訪れよう と し て い た 。
前	14	まえ	逆 に ヴァンプ 将軍 を 始め と する 上司 や 先輩 怪人 の 前 で は 大人しく なり 、 媚びへつらう 。
前	10	まえ	多彩 な ライブ アクト と とも に 、 祝日 前 の 渋谷 の 夜 を 盛り上げ て くれ そう だ 。
前	14	まえ	取り調べ 段階 で は 黙秘 を 貫き “ 全て は 裁判 官 の 前 で 話す ” と し て い た 被告 は , 犯行 を 認め た もの の 教祖 へ の 逮捕 状 発布 の 経緯 に 関し “ 捜査 当局 の 不 手際 , 失態 ” と 元 同僚 ら を 非難 , 法廷 は 一時 元 警視 の 独壇 場 と なっ た 。
前	15	まえ	2011 年 1 月 で レギュラー 放送 が 終了 し 、 今後 は 特番 前 の 特別 番組 と し て 放送 さ れる 。
前	18	まえ	また 、 この 番組 は 公開 録音 スタイル が とら れ て おり 、 当初 は 改装 前 の 第 3 スタジオ で ギャラリー も 5 ~ 6 人 だっ た が 、 その 後 常時 10 人 以上 集まる よう に 更に ギャラリー の 数 が 増え た ため 広い 第 1 スタジオ に 移っ て 収録 する よう に なっ た 。
前	9	まえ	あと 、 びっくり な の が 、 玄関 前 に ペンギン が 3 羽 。
前	9	まえ	まさか 松田 氏 は , 男性 が 倒れる 前 から 消防 に 通報 し て い た と で も いう つもり だっ た の でしょう か 。
前	32	まえ	18 分 以降 、 SAGAWA が ボール を キープ する 時間 が 増え 出し 行く の だ が 、 これ は ペース を 握っ て いる の で は なく 、 前 から の プレッシャー が 厳しい ため 、 一旦 下げ て 後ろ で 回し 、 なん と か 穴 を 探ろう と し た ため に ポゼッション する 時間 が 増え た だけ の こと 。
前	25	まえ	駐車 場 は ある もの の 立体 駐車 場 で 出入り に 時間 が かかり 、 6 号 と 14 号 の 交差 点 前 で 交通 量 が 多く かつ 駅前 直結 な ため 常 に 混雑 し て おり 、 事実 上 地元 の 人 以外 の アクセス は 辛い です 。
前	5	まえ	潜水 士 に なる 前 は 会社 も 嫌 に なっ て 辞め 、 親 も 納得 する と いう 理由 で 海上 保安 庁 に 入庁 し た 経緯 から 、 あらゆる 境遇 に 逃げ て き て い た と 自認 し て いる が 、 仙崎 と 行動 する うち に 潜水 士 と し て の 成長 も 見せ て いる 。
前	7	まえ	当時 は 調騎 分離 さ れる 前 だっ た こと も あり 、 調教 師 の 清水 茂次 が 20 戦 中 19 戦 に 騎乗 し て いる 。
前	15	まえ	正午 から の デモ で は , 紀尾井町 の 文芸 春秋 本社 通用 門 前 に 30 名 程 の 信者 が 並び , 初日 から リーダー を 務める 井口 氏 の 号令 で 一人 ずつ ビル に 向かい 抗議 の 演説 。
前	13	まえ	翼端 に 付け て い た 増槽 は 機体 の 重心 が 前 に 寄り 過ぎる ため に 使用 さ れ ず 、 主翼 中央 下面 に 滑らか な 形状 で 装着 できる よう に 再 設計 さ れ た 。
