kanji	index	reading	sentence
店	13	みせ	また 行き たい 、 そんな 気持ち に さ せ て くれる お 店 です 。
店	7	みせ	色々 と 面白い メニュー の ある 店 。
店	12	テン	高松 に 3 店舗 を 展開 する 四国 スイーツ の 専門 店 、 ラ ・ ファミーユ で は 、 バレンタイン を 前 に 、 焼か ない チョコレート ケーキ 「 半熟 ザッハトルテ 」 の 発売 を 開始 し まし た 。
店	12	みせ	人数 、 予算 に 合わせ た 飲み会 が し やすい お 店 だ と 思い ます 。
店	2	みせ	お 店 が ホテル の 地下 な の で 雰囲気 が いまいち 。
店	1	みせ	店 の 雰囲気 も 高級 感 に 溢れ て おり 、 先方 も 料理 に は 大 満足 だっ た らしく 接待 も いい 感じ で 進ん だ と 思い ます ね 。
店	8	みせ	店長 も 個性 的 で 楽しい お 店 でし た ♪
店	7	みせ	学生 時代 から 行き つけ の 店 です 。
店	2	テン	焼肉 店 激戦 区 の この 町 !
店	10	みせ	めずらしい 種類 が たくさん あり 、 ここ の お 店 だけ 楽しめる デザート に なっ てる と 思い ます 。
店	27	みせ	ユニクロ は 、 通勤 客 など が 見込める 駅 構内 へ の 出店 を 進め て い ます が 、 肌着 を 専門 に 販売 する 店 を 出店 する の は 初めて で 、 売り上げ の 推移 を 見極め た うえ で 、 店舗 の 数 を さらに 増やし たい と し て い ます 。
店	2	みせ	お 店 の 雰囲気 も よく 、 隣 の 席 と の 間隔 も 丁度 よく 、 リラックス 出来 ます の で 食べ すぎ ちゃい ます ね 。
店	31	みせ	You Tube で も 、 いくら か 、 アップロード さ れ て いる この 歌 に ちなん で 、 スール と 名づけ られ た ブエノスアイレス の タンゴ 生 演奏 の 店 が ある 。
店	9	みせ	今 まで 行っ て た つけ 放題 の 店 は つけ 放題 な の に 100 本 と か 意味 分から ない けど 行っ て まし た が 、 ここ は たくさん 付け て くれ て 、 方向 も そろっ て バッチリ 綺麗 でし た 。
店	8	みせ	カウンター 席 5 席 程度 の 小さい 店 な の で 予約 し て から 行く の が 吉 。
店	2	みせ	お 店 の 外観 は 綺麗 で 、 駐車 場 を 備え て いる 貴重 な 名古屋 西側 の 台湾 料理 屋 さん です 。
店	6	みせ	寡黙 な ご 主人 も 店 の 雰囲気 を いっそう 引き立て て い ます 。
店	4	みせ	オシャレ な お 店 です 。
店	3	みせ	ちっちゃな お 店 でし た けど 、 親切 な 対応 し て もらえ まし た 。
店	13	みせ	不思議 な 雰囲気 の ビル に ある 不思議 な 雰囲気 の お 店 。
店	34	みせ	サービス 料 で 1 万 円 と か 、 ボッタくら れる ん じゃ ない か と ドキドキ し ながら 入っ た の です が 、 とっても サービス が 良く 、 居心地 の いい 店 でし た 。
店	13	テン	先週 土曜 日 の 夕方 , 名古屋 駅 隣接 の 名鉄 百貨 店 前 の 歩道 周辺 に は アンケート 用紙 と “ GL 文化 センター ” と 書か れ た ファイル を 手 に , 通行 人 に 声 を 掛ける 勧誘 員 の 姿 が あっ た 。
店	21	みせ	高田馬場 で は 居酒屋 や ファミレス は 多い の です が 、 きちんと し た 日本 料理 が 食べれる お 店 は この お 店 しか ない と 思い ます 。
店	25	みせ	高田馬場 で は 居酒屋 や ファミレス は 多い の です が 、 きちんと し た 日本 料理 が 食べれる お 店 は この お 店 しか ない と 思い ます 。
店	14	みせ	お 魚 が 少し 生臭かっ た の を のぞけ ば 満足 の お 店 です !
店	6	みせ	江戸 時代 から の お 店 らしい が 、 最近 リニューアル し た らしく 、 蔵造り と 洋風 建築 が マッチ し て 、 和 モダン の イイ 感じ が 目 を 引き まし た 。
店	27	みせ	時々 お 金持ち ライダー が 入り浸っ て いる が 、 お 手頃 価格 の 車両 も 探せ ば ある の で 、 びびら ず 、 お 店 に スタッフ に 話しかける の が 吉 。
店	21	テン	自由が丘 に 住ん でる 友達 の 家 に 泊まり に 行っ た とき に ディナー で こちら の イタリア 料理 店 パランダ に 来 まし た 。
店	10	みせ	子ども たち と 一緒 だっ た けど 、 お 店 の 人 が 優しく て ゆっくり 出来 まし た !
店	8	みせ	豆 好き に は たまら ない お 店 で 、 黒豆 ・ 大豆 大変 美味しい です 。
店	6	テン	一 階 に ある 和食 店 は 同じ グループ 店 で 注文 する と 持っ て き て くれる 。
店	32	テン	その ため 第 二 日 目 が 本番 の 学園 祭 と いっ て も 過言 で は なく 、 ほぼ 丸 一 日 を 使っ て 各 団体 の 模擬 店 など の 出し物 が 披露 さ れる 。
店	2	テン	仏具 店 や 土産物 店 に は , 創価 学会 の シンボル マーク で ある 三 色 を あしらっ た グッズ や お 菓子 が わんさか 並ん で い ます 。
店	5	テン	仏具 店 や 土産物 店 に は , 創価 学会 の シンボル マーク で ある 三 色 を あしらっ た グッズ や お 菓子 が わんさか 並ん で い ます 。
店	10	みせ	「 ヘルシー な 料理 」 を テーマ に この 店 を 選び まし た 。
店	9	みせ	帰郷 の 際 は 必ず お じゃま する 店 。
店	7	みせ	お 気 に 入り の お 店 です 。
店	29	みせ	やはり 、 料理 が ある 程度 美味しく なけれ ば お 酒 も 進ま ない の で 、 その 点 で は ここ は 安心 し て 楽しめる お 店 です 。
店	11	みせ	週 に 1 度 は 必ず 食べ に 行く お 店 。
店	7	みせ	すごく あたたかい アット ホーム な お 店 です !
店	2	みせ	お 店 の 雰囲気 も とても いい し 、 お 料理 も 美味しかっ た です 。
店	6	みせ	また 是非 行き たい お 店 です ♪
