kanji	index	reading	sentence
手	1	て	手 に 持っ た 特殊 な 刃物 を 使っ た アクロバティック な 体術 や 、 揚羽 と 薄羽 同様 に クナイ や 忍具 を 使っ て 攻撃 し て くる 。
手	12	て	大勢 の 信者 を 動員 し 傍聴 券 の 大半 を 手 に 入れ た 統一 教会 。
手	34	て	「 つる 家 」 を 強引 に 廃業 に 追い込もう と する も 、 小松原 の 「 土圭 の 間 の 小野寺 」 と し て の 忠告 を 聞き 、 強引 な 手 を 使わ なく なっ た 。
手	10	て	水田 跡 や 湿っ た 草原 など 、 あまり 手 の 入ら ない 、 しかし 撹乱 の 多い 湿地 に よく 見かける 植物 で 、 一 年 草 。
手	15	て	リヨン で 生まれ 、 イタリア で 法学 博士 号 と 司祭 の 資格 を 手 に 入れ た 。
手	15	て	京王 プラザ ホテル 脇 で は 3 人 の 信者 が アンケート 用紙 を 手 に 声 を 掛け 続け て い た 。
手	34	て	先週 土曜 日 の 夕方 , 名古屋 駅 隣接 の 名鉄 百貨 店 前 の 歩道 周辺 に は アンケート 用紙 と “ GL 文化 センター ” と 書か れ た ファイル を 手 に , 通行 人 に 声 を 掛ける 勧誘 員 の 姿 が あっ た 。
手	9	て	最初 に 現れ た 女性 信者 二人 , 手 に は “ 原理 講論 ” と 書か れ た 冊子 を 持っ て いる 。
手	20	て	異 次元 に 飛ん だ の も 、 実際 は 人間 に 復讐 する べく ジャビウス 1 世 と 手 を 結ぶ ため の 行動 で あっ た 。
手	7	て	現在 は エクストリミス の 力 を 手 に 入れ て いる 。
手	8	て	何者 か から 支援 を 受け 、 手 に 入れ た 正体 不明 の 霊 を 子供 達 に 与え 花 の もと に 差し向け た が 、 京都 まで 殴り込み を かけ て き た たまお に 成敗 さ れる 。
手	6	て	“ 幸せ アンケート ” を 手 に , 通行 する 女性 を 狙い 声 を 掛ける 勧誘 員 たち 。
手	4	て	お 洋服 は 手 が 出 なく て も 、 小物 や バッグ なら 、 学生 で も 手 が 出 ます よ 。
手	19	て	お 洋服 は 手 が 出 なく て も 、 小物 や バッグ なら 、 学生 で も 手 が 出 ます よ 。
手	13	て	入場 者 は 事前 に 配布 さ れ た 整理 券 を 手 に し て い た 。
手	36	て	ブラック パール 号 の 船員 が 自分 たち の 命 を 守る ため 果敢 に も 戦っ て いる 中 ジャック は ボート で 逃げ出し た が 、 コンパス を 覗き 自分 の 「 最も 手 に 入れ たい もの 」 が 何 で ある か を 知る 。
手	8	て	譜 が 複雑 で 、 替え の 手 が 多く 、 装飾 的 な 傾向 が つよい 。
手	7	て	その 相手 は 親し げ に 手 を 挙げ 時 に は 手 を 振り ながら 駆け寄っ て くる 。
手	13	て	その 相手 は 親し げ に 手 を 挙げ 時 に は 手 を 振り ながら 駆け寄っ て くる 。
手	4	て	ハンバーグ って 、 手 が かかる 割 に は 、 高い お 値段 を つける こと が でき ない の で 、 お 店 の 経営 姿勢 が よく わかり ます 。
手	11	て	権力 者 は , われわれ の 新聞 が 大衆 の 手 に 渡る の を 何 より も 恐れる 。
手	22	て	日中 間 の 首脳 会談 や 、 民間 交流 で も 停止 し て いる もの が ある が 、 どう 手 を つけ て いく の か
手	5	て	ここ で 自分 の 手 が ある ほう が 力点 と なり 、 同時 に 天秤 は 重い 物 を 持ち上げる 道具 に なっ て いる 。
手	13	て	審美 歯科 の 金額 を 下げ 、 一般 の 人 で も 手 の 届く 価格 に し て いる 。
手	13	て	「 主人 の 奴 」 の 行動 を 先読み し 、 あらゆる 手 を 尽くし て 彼 を フォロー する 一方 で 、 甘やかし すぎ な の で は ない か と も 思っ て いる 。
手	33	て	刀緒 / 手貫 糸 、 剣緒 と は 、 軍刀 の 柄頭 に 付け られる 紐 状 の 物 で 、 階級 の 誇示 や 一種 の 装飾 、 抜刀 時 に 手 を 通し 不意 の 脱落 を 防ぐ など の 意味 が ある 。
手	9	て	ひょんな こと から 知り合っ た 3 人 は 手 を 組む こと に なる 。
手	10	て	梨花 が 台詞 を 言っ て いる 最中 に 手 を 叩い て 次 の ネタ を 始める 役 と も なっ て いる 。
手	2	て	さらに 手 の 磁石 で 機械 と 融合 し た もの を 引き寄せ 、 腹部 に ある ミサイル の 様 な もの で それ を 破壊 する こと が できる 。
手	24	て	シェーラ の 国 を 石 に 変え たり 、 兵士 の 心 の 隙 を 突い て 操っ たり する など 、 あの 手 この 手 で 七 つ の 鍵 を 集めよう と し て いる 。
手	26	て	シェーラ の 国 を 石 に 変え たり 、 兵士 の 心 の 隙 を 突い て 操っ たり する など 、 あの 手 この 手 で 七 つ の 鍵 を 集めよう と し て いる 。
手	7	シュ	トラック は トレーラー タイプ で 運転 手 は 周囲 を 確認 せ ず に 道路 に 進入 し た 疑い が ある 。
手	17	シュ	大阪 工業 大学 中退 後 は 、 不 動産 広告 業 者 の 秘書 兼 運転 手 と し て 働く 傍ら 、 経営 に つい て 学ん だ 。
手	18	て	置賜 地方 は 血縁 関係 の ある 伊達 氏 の 支配 下 に あり 、 迂闊 に 手 を 出せ ない こと から 北進 し 、 庄内 地方 の 制圧 を 目指し た 。
手	6	て	その 後 、 レイオス の 手 の 中 で シグナルティン が 復活 し た 為 に 絶体 絶命 に 追い込ま れ 、 最終 手段 と し て ウィルス を 魔物 に バラ撒か せよう と する が 、 それ を 止める ため の 超 時空 反発 弾 に 巻き込ま れ て 姿 を 消す 。
手	8	て	しかし 、 居飛車 が 角道 を 止める 手 を 保留 し た 場合 に どう 手 を 作る か が 課題 で 、 袖 飛車 へ の 転換 や 4 筋 の 位 を 取っ て 左 金 を 攻め に 活用 する など の 手段 が ある 。
手	12	て	その 姿 は 「 魁偉 奇妙 、 威光 熾盛 」 で 手 に 刀剣 を とり 、 足 は 虚空 を 踏ん で い た 。
手	5	シュ	主な ポジション は 右翼 手 。
手	18	て	教盛 は 兄 の 経盛 と とも に 鎧 の 上 に 碇 を つなげ て 兄弟 手 を 取りあっ て 海 に 沈ん だ 。
手	23	て	これ に 対し 、 オーシア の ハワード 外相 は 同日 出演 し た ニュース 番組 内 で ベルカ の 旧 権益 を 手 に する チャンス を 窺い 始め て いる と 発言 し 、 ユークトバニア を 批判 し た 。
手	74	て	また 同 小説 で は 藍染 に なすりつけ られ た 罪 は 、 元柳斎 の 尽力 も あっ て 藍染 の 謀略 が 認め られ た こと から 鉄裁 ・ 夜一 の 罪状 共々 取り消し と なっ た こと 、 商店 も 尸魂 界 公認 と なっ た 上 、 破面 篇 で 喜助 の 存在 が 広く 知れ 渡っ た 為 、 現世 駐在 任務 の 死神 が 多数 訪れる よう に 手 が 足り なく なり つつ ある 程 忙しく なっ て いる こと が 語ら れ て いる 。
手	31	て	クイズ を 行う 場所 や 形式 の 関係 上 、 早押し テーブル を 設置 する こと が 困難 な 場合 は 、 早押し ボタン の ボックス を 挑戦 者 の 手 に 持た せ て クイズ を 行っ た 。
