kanji	index	reading	sentence
時	2	とき	ひどい 時 は 、 立っ て い て も 座っ て い て も 何 を し て て も 首 が 痛く 、 頭 が 首 に 乗っ てる の が 重く て 辛い と いう 状況 でし た 。
時	2	とき	この 時 は ほか に 6 人 の 自民 党 議員 が 協力 し て い ます 。
時	7	ジ	東海 大学 卒業 、 大学 在学 時 は 体育 会 キックボクシング 部 所属 。
時	2	ジ	建て替え 時 の 仮 住居 は 、 都市 再生 機構 の 賃貸 住宅 を 近隣 に 確保 。
時	5	ジ	チーム は 、 緊急 時 避難 準備 区域 の 市 町 村 が 復旧 計画 の 一部 と し て 除染 計画 を 策定 する 際 、 専門 家 を 派遣 し 、 除染 計画 策定 を 支援 する 。
時	2	とき	そんな 時 に 正しい 先祖 供養 と 出会い , 2 ヶ月 目 くらい に 夫 が 居間 に 顔 を 出す よう に なり まし た 。
時	9	ジ	これ は 前年 の 満祐 の 家督 相続 時 、 幕府 と の 合戦 を 決意 し て 軍備 を 整え て い た とき 、 大量 の 兵糧 を 徴発 し た ため に 起こっ た と さ れる が 、 京都 で 正長 の 土 一揆 が 起こっ て 侍所 別当 と し て 鎮圧 に 当たっ て い た 満祐 は 、 急遽 播磨 に 下向 し て 鎮圧 に 努め て いる 。
時	16	ジ	また 、 毎回 一定 で ない 放送 時間 尺 を 、 日本 で の 放送 時 は 既定 の 放送 枠 に 拠る “ 一定 の 時間 尺 ” に 合わせ ざる を 得 ない ため 、 シーン を カット する こと も 行わ れ て いる 。
時	31	とき	間 も ない 頃 は 回路 が 不 安定 で 精神 に 異常 を 来し て い た が 、 危機 に 陥っ た ジャン の 声 を 聞い た 時 、 ゴッドジンライ で あっ た 頃 の 正義 を 愛する 心 が 蘇っ た 。
時	2	とき	その 時 の 機体 の カラーリング は 青 と 紫 で あっ た 。
時	8	ジ	フィニョン は 、 第 20 ステージ 終了 時 に は 、 レモン に 50 秒 の 差 を つけ て い た 。
時	13	とき	ホームズ が 1982 年 11 月 に ポルノ に 復帰 し た 時 に は 、 時代 は 既に フィルム から ビデオ へ 移行 し つつ あっ た 。
時	2	とき	どんな 時 で も 仲間 が , 組織 が ある から 生き て いける の だ 。
時	4	とき	この 試み は 時 に は クラブ 内 に 混乱 を 招い た が 、 同時 に プロ と し て の 厳しい 規律 を もたらし 、 1980 年 代 中盤 以降 の 全盛 期 を 呼び込む 一 つ の 要因 と なっ た 。
時	3	ジ	新規 プレイ 時 は C リーグ に 配属 さ れる 。
時	9	とき	新宮 高校 で は 3 年 生 の 時 に 第 36 回 高校 野球 選手 権 に 出場 し 、 準 決勝 まで 勝ち進ん だ 。
時	23	ジ	実 は HDCD エンコード 盤 は 、 0 dB を 超える 波形 尖塔 部 を 鈍ら せ て 記録 し 、 再生 時 に 非 直線 量子 化 に よっ て 鈍ら せ た 波形 尖塔 部 を 復活 さ せる ピーク エクステンション と いう しくみ の ため に 、 通常 の CD 盤 と 比較 する と 音量 が 小さく 聴こえ て しまう の で HDCD 盤 と 通常 CD 盤 再生 時 に 音量 差 が ある と 、 いちいち リスナー が 再生 時 の ボリューム を 調整 する 煩わし さ が 生じる の で 、 音量 差 が 生じ ない よう に しくみ に なっ て いる 。
時	3	ジ	初 登場 時 の 年齢 15 歳 前後 。
時	35	ジ	新た に 掲載 さ れ た 写真 は , 昨年 12 月 日比谷 で の “ 拉致 監禁 キャンペーン デモ ” と 今月 3 日 小平 で の 52 周年 記念 式典 の 取材 時 に 記者 を 撮影 し た もの だ 。
時	10	とき	ドルチェ & ガッバーナ の ショー に 来場 し た 時 、 痩せ すぎ モデル が 問題 に なっ て い た ため 、 それ と 対極 する ベルッチ の 体型 は 話題 と なっ た 。
時	19	とき	ウレマ 評議 会 は 3 月 に 国内 の 信者 に 対し , 日々 の 祈り を 捧げる 時 は 西 の 方角 を 向く よう に と の 指示 を 出し て い た 。
時	10	とき	その 相手 は 親し げ に 手 を 挙げ 時 に は 手 を 振り ながら 駆け寄っ て くる 。
時	4	ジ	この パリ 滞在 時 に は 矢代 幸雄 が 同行 し て おり 、 パリ 近郊 ジヴェルニー の モネ 邸 を 訪問 し た 際 の 様子 は 、 矢代 の 著書 『 芸術 の パトロン 』 に 描写 さ れ て いる 。
時	17	ジ	この よう な 欠陥 住宅 は 、 耐震 性 が 低い ばかり で なく 、 通常 時 で も ひび割れ が 多く 発生 し たり 、 内部 の 鉄筋 を 早期 に さび させ たり する 。
時	29	とき	《 交響 曲 第 1 番 》 を 作曲 し て いる 最中 に 、 ラフマニノフ は ピアノ 独奏 曲 から 解放 さ れ 、 《 楽興 の 時 》 は 成熟 し た 作曲 へ の 復帰 作 と 認め られ た 。
時	27	ジ	現在 は 1 階 は 商業 施設 に なっ て おり 、 2 階 以上 が 貸 事務 所 と なっ て いる が 、 非常 時 以外 は 2 階 以上 に は 建物 の 西側 に ある 通用 口 から のみ 入る よう に なっ て いる 。
時	11	ジ	ブローム・ウント・フォス B V 155 は 第 二 次 世界 大戦 時 に ドイツ で 試作 さ れ た 高 高度 戦闘 機 で ある 。
時	7	ジ	1 号 炉 の 運転 開始 時 の 記念 式典 に エリザベス 2 世 女王 が 出席 し て いる 。
時	33	とき	そして , あまり に カネ を 持っ て いる 宗教 団体 に つい て 見聞き する とき , それ は 信者 たち が 払っ た 多額 な お 布施 で あり , 時 に は 霊感 商法 悪質 な カネ集め も 行わ れ て いる の か も しれ ない , と 思わ れ がち です 。
時	22	とき	そんな ある 日 、 マネージャー の 自宅 付近 の 焼肉 屋 で マネージャー 夫婦 と 食事 を し て い た 時 、 ふと し た こと から 大きな 言い争い に 店内 は 荒れ 、 メンバー は マネージャー に 殴ら れ て しまう 。
時	9	ジ	この 件 も 同じ よう に 、 新築 時 は 200 % だっ た 容積 率 が 、 用途 地域 指定 を 第 一 種 中高層 住居 専用 地域 に 変更 し た ため 、 150 % に 下げ られ た そう です 。
時	11	とき	かつて 傭兵 と し て 生計 を 立て 、 その 時 に 得 た 技術 を 全て ゾル に 叩き込ん だ ゾル の 師匠 。
時	45	とき	伝承 中 で は 死 に 際し 、 キリスト 教 で は なく 民族 の 王 と し て 、 ドルイド 信仰 の 伝説 の 聖地 アヴァロン へ と 夜 の 湖 の 上 を 去っ て いく が 、 一説 で は この 時 アーサー を 迎え に 来 た 三 人 の 妖精 の 女 の うち 、 一人 は モーガン で あっ た と も 語ら れる 。
時	11	とき	ただし 、 値段 が 15000 円 の その まま の 時 も ある 。
時	30	ジ	優遇 措置 で 2011 年度 分 の 固定 資産 税 と 都市 計画 税 を 免除 する の は 、 警戒 区域 ・ 計画 的 避難 区域 ・ 緊急 時 避難 準備 区域 の うち 、 市町村長 が 指定 する 区域 。
時	38	ジ	現金 もしくは クレジット カード で 決済 する 商品 に 同封 さ れ た 用紙 に 記入 し 、 金融 機関 や コンビニエンス ストア を 通じ て 販売 者 の 口座 へ 送金 する 方法 か 、 配達 時 の 運送 業 者 に よる 代金 引換 サービス を 用いる 。
時	2	ジ	不在 時 は 車内 精算 。
時	2	とき	そんな 時 に こちら を 訪れ た の です が 、 スタッフ さん や その 対応 が 良い 会社 で 、 びっくり し まし た ね 。
時	11	とき	子ども に とっ て は 、 1 年 生 の 時 に は 週 4 時間 だっ た 算数 が 2 年 生 に 上がる と 週 5 時間 に なっ たり 、 3 年 生 で 週 平均 2 . 6 時間 だっ た 理科 が 4 年 生 で 同 3 時間 に なっ たり する 、 と いう 変化 が ある の です が 、 学校 全体 の 時間 割 と し て は 、 そう 変わる こと は なさ そう です 。
時	2	ジ	現役 時 は 注意 さ れ て ばかり だっ た が 、 理事 長 時代 は 逆 に 手 を 下ろす 事 を 皆 に 勧め 、 現在 の よう に 一般 化 さ せ た 。
時	2	ジ	出社 時 に は ここ に 個人 の 荷物 は すべて 収納 し 、 仕事 に 必要 な PC や 文房 具 類 だけ を ワーク スペース に 持っ て はいる 。
時	13	ジ	プレイ オプション に つい て は 原則 と し て ゲーム 開始 時 、 タイトル 画面 表示 中 に 行う 形 と なる 。
時	26	とき	通常 は 、 機材 から 流れる 音楽 に 合わせ て 踊る が 、 スタテン アイランド ・ ラグタイム バンド の 生 演奏 を バック に 踊る 時 も ある 。
時	56	ジ	磁気 浮上 で ある ため 、 軌道 一 次 式 リニア モータ を 採用 し た 場合 、 車体 側 に 集電 が 不要 な の で 車体 と 軌道 等 と の 接触 は ない ため 、 これ ら の 動 摩擦 力 は 働か ない が 、 以下 の 2 つ が 推進 時 の 抵抗 と し て 働く 。
時	4	とき	16 歳 の 時 その 美貌 を 認め られ 、 佐々 若狭 に 進め られ て 腰元 と なっ て 仙台 城 の 奥 に 勤める 事 と なっ た と 伝える 。
時	44	とき	その 結果 、 体育 館 に 全校 生徒 が 集まる 中 で 「 沢井 君 の 彼女 に なり たい 人 」 を 公募 する も 誰 も 名乗り出 ない 「 晒し者 」 状態 に 置か れ 、 大事 な こと を 決める 時 は 他人 に 頼る べき で は ない と の 教訓 を 得る 。
時	10	ジ	その ため 、 本艦 の 船体 重量 は 設計 時 より も 増加 し 、 皺寄せ が 船体 強度 に 及ん で しまっ た 。
時	11	ジ	その 後 , 深い 仲 に なり , 事件 発覚 時 まで に 複数 回 関係 を もっ た と いう 。
時	38	とき	また 、 上杉 聰 は 吉見 義明 ・ 中央 大学 教授 と とも に 清治 と 面談 し た 結果 、 「 吉田 の 証言 を 嘘 と 断定 する こと は でき ない が 、 「 時 と 場所 」 と いう 歴史 に とっ て もっとも 重要 な 要素 が 欠落 し た もの と し て 、 歴史 証言 と し て は 採用 でき ない 」 と し て いる 。
時	3	ジ	また 運転 時 に 上部 の 景色 が 隠れ ず 、 見 やすく なっ た 。
時	26	とき	以後 も 毎年 上位 に つける 実力 を 有する 他 、 年末 の 天皇 杯 で は 、 たびたび J リーグ チーム を 脅かし 、 時 に は 勝利 する こと も ある 。
時	4	とき	そして 今回 その 時 の 依頼 者 と 同じ 人物 から 講演 の 依頼 が あり , 引き受け た 。
時	3	ジ	物語 開始 時 は 、 城南 スポーツ クラブ の 指導 員 と し て 登場 。
時	10	ジ	ユグルタ は スキピオ ・ アエミリアヌス に よる ヌマンティア 攻撃 時 に 援軍 と し て 赴い て おり 、 その 際 に ローマ 軍 の 軍略 を 学ん で い た 。
時	27	とき	1100 年 に 十字 軍 から 帰路 の 途中 で ウィリアム 2 世 が 亡くなっ た 知らせ を 受け た が 、 ノルマンディ に 戻っ た 時 に は 既に 弟 の ヘンリー が 王位 に 就い て い た 。
時	29	とき	コーエン は ノーサンプトン の Kingsthorpe Upper School で 教育 を 受け た が 、 この 学校 に は ラグビー チーム が 無かっ た ため 、 12 歳 の 時 に 地元 の 青少年 クラブ の Northampton Old Scouts RFC に 加入 し た 。
時	2	とき	食べる 時 は 、 注意 し て 、 食べ て ください 。
時	7	とき	引越 し て 間 も ない 時 に 、 近く の 安い お 店 情報 を 教え て くれ て 親切 に し て 頂き まし た 。
時	3	とき	しかし その 時 の 面影 は ほとんど なく 図書 館 の 入り口 あたり に そびえる 「 翔 」 と いう 文字 が 刻み込ま れ て いる 石碑 の 近代 的 な 作り が 印象 的 だっ た 。
時	2	ジ	幼少 時 より 間食 を 好ん だ ため 肥満 体 で 、 終戦 直後 の 食糧 難 の 時代 に も 恰幅 の よい 体躯 を 誇っ た 。
時	15	ジ	※ 2007 年 12 月 29 日 の 放送 で 、 オープニング ・ ヘッドライン 時 に 、 この テーマ 曲 が 流れ ない と いう トラブル が 起こっ た 。
時	2	とき	「 時 は 金 なり 」 「 左団扇 」 「 金持ち 喧嘩 せ ず 」 と いっ た 金 に まつわる 言葉 を 好む 。
時	5	とき	一 回 生 の 時 に 、 第 31 回 ポプコン で は 関西 代表 と し て 出場 し 、 本選 会 で 「 惚れ て 」 を 演奏 し 、 入賞 を 果たす 。
時	9	とき	また 、 Mii 対応 で 対戦 モード の 時 に Mii が 登場 し 、 オプション 設定 で Mii に する と 、 オリジナル モード に 登場 する ドクター マリオ から Mii に 変更 する こと が 出来る 。
時	19	とき	当初 は 値段 の 不安 も あっ た の です が 、 見積もり を し て もらっ た 時 に それ ほど 高額 で は ない と わかっ た の で 、 即決 でし た 。
時	7	ジ	ナチス ・ ドイツ の ポーランド 侵攻 時 に は 、 ポーランド に 約 2 , 700 , 0 人 い た ドイツ 系 住民 の うち 25 % が ドイツ に 直接 指揮 監督 さ れ た 何 ら か の ドイツ 人 少数 民族 組織 に 所属 し て 多く が 第 五 列 活動 に 関わっ て おり その うち 82 , 0 人 が 悪名 高い 自衛 団 の 構成 員 だっ た と 推定 さ れ て いる 。
時	17	ジ	1963 年 に 2 本 目 の カール ・ ヘフナー を 購入 後 は 、 コンサート 時 に スペア と し て バックステージ に 待機 さ せ て い た 。
時	11	ジ	資材 コスト の 上昇 が 理由 で 、 運賃 請求 時 に 課金 する 。
時	4	とき	また ヘッドライン の 時 は 、 タイトル 左側 の 囲み に メイン キャスター の 顔 が アップ で 映さ れ て いる 。
時	6	とき	小学 3 年 生 の 時 に 家出 し た 際 に イレーネ と 鞠也 の 世話 に なっ て おり 、 イレーネ を 「 人生 の 恩人 」 と し て 敬愛 し 、 鞠也 に 深い 憧れ を 抱い て いる 。
時	21	ジ	明治 初期 に おい て は 反 政府 活動 が 大々 的 に 行なわ れ 、 電信 に かわる 非常 時 の 通信 手段 が 求め られ 、 本 制度 が 導入 さ れ た 。
時	10	とき	トウジ が 日本 の 独裁 者 に なっ た 時 の ため に 2000 近い 新しい 法案 を 作成 する 。
時	3	ジ	リール 停止 時 に バック ライト が 消灯 する 。
時	14	とき	持ち主 の 体内 に 宿り 、 その 力 が 必要 と 思わ れる 時 に 胸 に 浮かび上がる 。
時	1	とき	時 は 戦国 。
時	16	とき	『 楊 太真 外伝 』 など に 、 740 年 から 後宮 に 入っ た 時 から 、 755 年 まで の 楊 貴妃 に 関する 多く の 伝承 が 伝え られ て いる 。
時	2	ジ	発足 時 の 社長 は 松尾 新一 、 工場 長 は 瀬島 利四夫 。
時	38	ジ	劉鳳 と の 一 戦 目 の 直後 に は 、 ホーリー から C マイナス クラス の 能力 者 と 認定 さ れ 、 軽んじ られ た もの の 、 第 13 話 に おけ る 再戦 時 に は ホーリー 部隊 隊長 の ジグマール から 、 劉鳳 と 同じ S クラス と 評さ れ た 。
時	61	ジ	ゲーム 入力 の レスポンス を よく する ため に は 、 これ を 1 秒間 に 通常 30 回 以上 行う 必要 が あり 、 実際 に 得 られ た データ の 回数 と 値 は ゲーム コントローラ 内 の 抵抗 や 回路 上 の ノイズ や CPU スピード 、 ゲーム コントローラ 全体 の 容量 から くる RC 回路 ・ 時 定数 に 依存 する 。
時	8	ジ	元文 3 年 の 一門 家 新設 時 は 加治木 家 と 垂水 家 が この 家格 と さ れ た が 、 同年 に 成立 し た 重富 家 も 加わり 、 重富 家 の 前身 、 越前 島津 家 が 室町 幕府 の 直勤 だっ た ため 、 一門 家 筆頭 と さ れ た 。
時	9	ジ	405 法廷 , 吉田 被告 は 前回 公判 時 の 手錠 に 腰縄 の 姿 と は 異なり 上下 黒 の スーツ 姿 で 現れ た 。
時	2	ジ	現役 時 の ポジション は ゴール キーパー 。
時	8	とき	FBI が ポールセン を 追い 始め た 時 、 彼 は 逃亡 者 と し て 地下 に 潜っ て い た 。
時	15	ジ	福音 書 は ヘンリー 8 世 の 命令 に よる 修道 院 の 解散 時 に ダラム 大 聖堂 から 持ち出さ れ 、 17 世紀 初頭 に 英国 議会 の 書記 官 、 トーマス ・ ウォーカー から ロバート ・ コットン の 手 に 渡り 、 18 世紀 に は 大英 博物 館 に 納め られ 、 更に そこ から ロンドン の 大英 図書 館 に 移さ れ た 。
