kanji	index	reading	sentence
金	7	キン	6 月 19 日 に 保釈 金 を 支払い 釈放 、 7 月 15 日 から イングランド 艦隊 の 義勇 兵 と なり 、 8 月 1 日 に ノルウェー の ベルゲン 港 で オランダ 共和 国 と の 交戦 を 経験 し た 。
金	23	キン	ダム 検証 に つい て も 工程 が 示さ れ て い ない と し て 、 本 年度 分 の 負担 金 の 支払い を 留保 する など 国 と の 対立 を 深め て い た 。
金	21	キン	公的 介護 保険 と 民間 介護 保険 が あり 、 民間 介護 保険 の 保障 内容 に は 介護 一時 金 や 介護 年金 など が ある 。
金	19	キン	この 新聞 社 を 1982 年 の 創刊 以来 28 年間 も 維持 し て き た 補助 金 の 出所 は どこ に ある の でしょう 。
金	14	キン	同市 の 大久保 寿夫 市長 は 「 県 の 責任 で 別途 補助 金 を 確保 し て くれる もの と 確信 し て いる 」 と の コメント を 発表 し た 。
金	25	かね	この まま の 民主 党 で は , みな さん が 働い て 努力 し て 一生 懸命 お 国 に 納め た お 金 も 無駄 に 使わ れ て しまう と いう の が わかる から , 悔しい ん です 。
金	4	キン	青地 で 、 金 の 三 峰 から 、 冠 を 被り 、 赤 と 白 の ストライプ に 塗り分け られ た ヘッセン の 獅子 が 現れる もの で ある 。
金	10	キン	全額 , サリン 事件 被害 者 に 対する 賠償 金 に 充て まし た 。
金	78	かね	屈突 通 や 殷 開山 が 敬徳 を 殺す よう 進言 し た が 、 李 世民 は 「 敬徳 が 叛く とき は 、 尋相 の 後 に など つく もの か 」 と 相手 に せ ず 、 敬徳 を 寝室 の 中 に 招い て 「 わたし は 讒言 を もっ て 良士 を 害し たり は し ない 」 と いい 、 「 去り たい とき に は 資金 と せよ 」 と 金 まで 渡し た 。
金	25	かね	統一 グループ の 巨大 コンツェルン は , エンドレス 信者 献金 や 霊感 商法 など で 日本 から 不当 に 吸い上げ た 巨額 の お 金 が その 資金 源 に なっ て いる 。
金	5	キン	髪 の 色 は 金 。
金	8	かね	もし か し たら 保険 に お 金 を かけ 過ぎ て いる か も と 思いあたる 節 が ある 方 は ぜひ 一 度 足 を 運ぶ こと を オ ススメ し ます 。
